,0,1,2,3
0,267.93472,270.4507,264.546,267.89545
1,265.4381,267.95108,262.0907,265.4397
2,262.45047,264.96225,259.15622,262.49902
3,261.82578,264.31226,258.53043,261.8678
4,261.38773,263.8549,258.09427,261.418
5,257.16302,259.6446,253.95718,257.2591
6,254.95332,257.4187,251.7764,255.06665
7,255.7062,258.13522,252.49501,255.7727
8,257.4271,259.8266,254.17087,257.43137
9,255.54297,257.9529,252.32758,255.5657
10,251.60472,254.03166,248.46323,251.6874
11,248.37836,250.80428,245.28394,248.50128
12,244.88246,247.30545,241.84001,245.04808
13,245.19933,247.58313,242.12842,245.32396
14,248.07332,250.41214,244.9332,248.1091
15,250.1409,252.46078,246.9619,250.11572
16,248.8957,251.23059,245.75002,248.8859
17,248.51402,250.84836,245.37117,248.50122
18,247.63972,249.97885,244.50955,247.63658
19,247.44878,249.7847,244.31577,247.44261
20,248.3133,250.63873,245.15799,248.28465
21,248.8815,251.20348,245.71573,248.84073
22,249.40259,251.72224,246.22882,249.3535
23,248.91284,251.23885,245.75377,248.87889
24,247.60652,249.9411,244.4769,247.60457
25,245.91269,248.25308,242.81737,245.94852
26,244.67484,247.01198,241.602,244.73543
27,243.34651,245.67969,240.2992,243.43117
28,243.1923,245.50995,240.14587,243.27347
29,242.878,245.18571,239.83925,242.95871
30,243.74187,246.03134,240.68585,243.797
31,252.37263,254.5885,249.13501,252.24464
32,258.3472,260.55267,255.00978,258.11267
33,256.10483,258.37128,252.84746,255.94165
34,253.48567,255.78725,250.28548,253.39398
35,254.89116,257.1832,251.65065,254.78244
36,258.52097,260.7945,255.20331,258.35226
37,260.58295,262.8614,257.2355,260.39188
38,262.47943,264.76202,259.10483,262.2704
39,262.43512,264.73767,259.0758,262.2484
