Time,Dates,Sources,Headlines
11.20 am , 24 Nov 2019 ,   Source: PTI,USFDA red flags Torrent Pharma's US-based plant for manufacturing violations
7.25 pm , 09 Oct 2019 ,   Source: PTI,Torrent Pharma gets warning letter from USFDA for Gujarat facility
3.46 pm , 25 Jul 2019 ,   Source: Moneycontrol.com,"After 17-fold returns in 10 years, can Torrent Pharma continue its marathon run?"
8.10 pm , 23 Jul 2019 ,   Source: PTI,Torrent Pharma net profit up 33% to Rs 216 cr in June quarter
2.18 pm , 04 Jul 2019 ,   Source: Moneycontrol.com,Buyout funds eye significant stake in Wockhardt's domestic formulations business
10.02 pm , 29 May 2019 ,   Source: Moneycontrol.com,Buy Torrent Pharmaceuticals; target of Rs 1940: ICICI Direct
10.16 am , 21 May 2019 ,   Source: Moneycontrol.com,"Torrent Pharma Consolidated March 2019 Net Sales at Rs 1,856.00 crore, up 7.78% Y-o-Y"
10.14 am , 21 May 2019 ,   Source: Moneycontrol.com,"Torrent Pharma Standalone March 2019 Net Sales at Rs 1,357.00 crore, up 1.72% Y-o-Y"
8.49 pm , 20 May 2019 ,   Source: PTI,Torrent Pharma posts Q4 net loss of Rs 152 cr
11.15 am , 26 Apr 2019 ,   Source: PTI,USFDA makes 'certain' observations for Torrent Pharma's Indrad plant
8.46 am , 26 Feb 2019 ,   Source: Moneycontrol.com,"Podcast | Stock picks of the day: Accumulate long positions on Nifty with stop loss below 10,700"
6.16 pm , 30 Jan 2019 ,   Source: PTI,Torrent Pharma net profit jumps over 4-fold to Rs 246 cr in December quarter
5.02 pm , 30 Jan 2019 ,   Source: Moneycontrol.com,"Torrent Pharma Consolidated December 2018 Net Sales at Rs 2,051.00 crore, up 38.86% Y-o-Y"
4.57 pm , 30 Jan 2019 ,   Source: Moneycontrol.com,"Torrent Pharma Standalone December 2018 Net Sales at Rs 1,481.00 crore, up 42.27% Y-o-Y"
3.27 pm , 23 Jan 2019 ,   Source: PTI,Torrent recalls 16 lots of hypertensive drug from US due to impure API
11.39 am , 17 Jan 2019 ,   Source: Moneycontrol.com,"Buy Torrent Pharmaceuticals, target Rs 2050: Ashish Chaturmohta"
6.13 pm , 11 Jan 2019 ,   Source: Moneycontrol.com,Torrent Pharma Q3 PAT seen up 183.6% YoY to Rs. 164.5 cr: ICICI Direct
12.41 pm , 08 Jan 2019 ,   Source: Moneycontrol.com,"Buy Torrent Pharmaceuticals, target RS 2,050: Ashish Chaturmohta"
10.45 am , 04 Jan 2019 ,   Source: Moneycontrol.com,"Credit Suisse expects strong Q3 quarter for Aurobindo, Torrent Pharma, Cadila"
3.36 pm , 10 Dec 2018 ,   Source: Moneycontrol.com,"India pharma market slows due to lower offtake of anti-infective, respiratory drugs"
5.07 pm , 13 Nov 2018 ,   Source: Moneycontrol.com,Buy Torrent Pharmaceuticals; target of Rs 1850: ICICI Direct
5.42 pm , 03 Nov 2018 ,   Source: Moneycontrol.com,"Torrent Pharma Q2 profit dips 12%, but revenue jumps 34% on strong US, India biz"
6.01 pm , 17 Oct 2018 ,   Source: Moneycontrol.com,Torrent Pharma Q2 PAT may dip 5.4% YoY to Rs. 190 cr: HDFC Securities
7.19 pm , 16 Oct 2018 ,   Source: Moneycontrol.com,Torrent Pharma Q2 PAT may dip 18.4% YoY to Rs. 166.5 cr: Sharekhan
5.47 pm , 12 Oct 2018 ,   Source: Moneycontrol.com,Torrent Pharma Q2 PAT may dip 13.2% YoY to Rs. 177 cr: ICICI Direct
8.44 pm , 03 Oct 2018 ,   Source: Moneycontrol.com,Torrent Pharma says charges of duping C&F agents baseless
7.42 pm , 21 Aug 2018 ,   Source: PTI,Torrent Pharma recalls 14 lots of blood pressure drug from US
11.39 am , 03 Aug 2018,@,"Torrent Pharma consolidated Jun-2018 sales at Rs 1,872.00 crore"
7.02 pm , 02 Aug 2018 ,   Source: Moneycontrol.com,"Torrent Pharma Q1 profit drops 13% to Rs 162 cr on higher amortisation, finance costs"
3.54 pm , 18 Jul 2018 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals Q1 PAT may dip 8.4% YoY to Rs. 172.2 cr: Kotak
5.02 pm , 13 Jul 2018 ,   Source: Moneycontrol.com,Hold Torrent Pharmaceuticals; target of Rs 1333: Edelweiss
