Time,Dates,Sources,Headlines
11.42 am , 21 Oct 2011 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target of Rs 618: Emkay
4.22 pm , 19 Oct 2011 ,   Source: Moneycontrol.com,Torrent Pharma Sep '11 sales at Rs 507.90 crore
10.38 am , 21 Sep 2011 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 687: Firstcall Research
1.31 pm , 30 Aug 2011 ,   Source: CNBC-Awaaz,Buy Torrent Pharma for long term: Avinash Gorakshakar
12.27 pm , 08 Aug 2011 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target of Rs 663: Emkay
3.52 pm , 15 Jul 2011 ,   Source: Moneycontrol.com,Sell Torrent Pharma; target of Rs 633: Karvy Stock Broking
5.10 pm , 08 Jul 2011 ,   Source: Moneycontrol.com,Sharekhan handpicks 15 stocks for investment
1.59 pm , 17 Jun 2011 ,   Source: CNBC-TV18,Torrent Pharma may touch Rs 680 levels: Bothra
11.28 am , 17 Jun 2011 ,   Source: CNBC-TV18,Bull's Eye: 12 must-have stocks for your portfolio
12.02 pm , 14 Jun 2011 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 761: Motilal Oswal
2.51 pm , 30 May 2011 ,   Source: Moneycontrol.com,Torrent Pharma declares dividend at Rs 6 per share
5.20 pm , 13 May 2011 ,   Source: Moneycontrol.com,Torrent Pharma to consider dividend
2.54 pm , 01 Apr 2011 ,   Source: Moneycontrol.com,Sushil Finance neutral on Torrent Pharma
4.00 pm , 24 Mar 2011 ,   Source: Moneycontrol.com,Accumulate Torrent Pharma; target of Rs 581: Sushil Finance
11.37 am , 21 Jan 2011 ,   Source: Moneycontrol.com,Torrent Pharma Dec '10 sales at Rs 459.56 crore
2.52 pm , 20 Jan 2011 ,   Source: CNBC-TV18,Torrent Pharma Q3 profit after tax at Rs 66 cr
4.18 pm , 12 Jan 2011 ,   Source: Moneycontrol.com,Torrent Pharma Dec qtr PAT seen down at Rs 78.9cr: Karvy
7.00 pm , 10 Jan 2011 ,   Source: Moneycontrol.com,Torrent Pharma Dec qtr PAT seen down at Rs 82.3cr: Emkay
2.49 pm , 02 Nov 2010 ,   Source: Moneycontrol.com,Buy Torrent Pharma: Emkay Global Financial Services
4.28 pm , 30 Oct 2010 ,   Source: Moneycontrol.com,Torrent Pharma an outperformer: Karvy Stock Broking
6.43 pm , 27 Oct 2010 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals reports Rs 481.79 crore turnover for quarter ended Sep 2010
5.04 pm , 21 Sep 2010 ,   Source: CNBC-TV18,Pharma stocks can give 20-25% return in 1-year: Ajay Parmar
