Dates,Headlines
29 May 2017,Hold Torrent Pharmaceuticals; target of Rs 1200: ICICI Direct
23 May 2017,"Sell Torrent Pharma, IGL, Bank of Baroda: Sudarshan Sukhani"
12 May 2017,USFDA issues 4 observations for Torrent Pharma's Indrad plant
17 Apr 2017,Torrent Pharma Q4 PAT may dip 8.3% to Rs 209.9 cr: ICICI Securities
10 Apr 2017,Torrent Pharma to acquire clutch of generic brands from Novartis
30 Mar 2017,"Buy Torrent Pharma, JSW Energy: Mitessh Thakkar"
08 Mar 2017,"Buy Kotak Mahindra Bank, NMDC: Mitessh Thakkar"
28 Feb 2017,"Buy Torrent Pharma, Wockhardt, HUL; sell Canara Bk: Thakkar"
28 Feb 2017,"Bull's Eye: Buy PNB, Torrent Pharma, GMDC; sell IDBI Bank"
23 Feb 2017,Pharma body comes up with new guidelines on data integrity
23 Feb 2017,Here۪s why Deutsche Bank is upbeat on pharmaceutical sector
15 Feb 2017,"Buy BHEL, IGL; sell Amara Raja, Torrent Pharma: Sukhani"
14 Feb 2017,"Buy Torrent Pharma, Tech Mahindra, M&M; sell Asian Paints: LKP"
09 Feb 2017,Buy Torrent Pharma; target of Rs 1730: HDFC Securities
08 Feb 2017,Buy Torrent Pharmaceuticals; target of Rs 1625: Edelweiss
08 Feb 2017,Hold Torrent Pharmaceuticals; target of Rs 1535: Religare
08 Feb 2017,Buy Torrent Pharmaceuticals; target of Rs 1700: Motilal Oswal
07 Feb 2017,Buy Torrent Pharma; target of Rs 1475: ICICI Direct
03 Feb 2017,Torrent Pharma Q3 net at Rs 229 crore
03 Feb 2017,Torrent Pharmaceuticals declares interim dividend
19 Jan 2017,"Torrent Pharmaceuticals' Q3 results on Feb 03, 2017"
17 Jan 2017,Torrent Pharma Q3 PAT seen up 7.1% to Rs 220 cr: HDFC Securities
16 Jan 2017,Torrent Pharma Q3 PAT seen up 15% to Rs 238 cr: ICICI Securities
14 Jan 2017,Q3 results: Five trends to watch out from Indian drugmakers
13 Jan 2017,"Buy, sell, hold: 12 stocks to watch out as earnings start"
09 Jan 2017,"Buy MOIL, NMDC: Sudip Bandopadhyay"
04 Jan 2017,"DCB Bank can test Rs 130-135, says Ashwani Gujral"
30 Dec 2016,"Buy, sell, hold: 6 stocks to watch out on 2016 last trading day"
26 Dec 2016,Buy Torrent Pharma; target of Rs 1665: Edelweiss
13 Dec 2016,"Buy Mindtree, Bharat Forge; sell Torrent Pharma: Sandeep Wagle"
30 Nov 2016,"Buy Ceat, Torrent Pharma; sell BPCL: Ashwani Gujral"
30 Nov 2016,"Buy, sell, hold: 9 stocks you can watch out today"
23 Nov 2016,"Buy REC, Century Textiles, Torrent Pharma: Ashwani Gujral"
18 Nov 2016,"Sell Tata Steel, SBI, Torrent Pharma: Ashwani Gujral"
18 Nov 2016,"Bull's Eye: Buy Just Dial, Canara Bank, Biocon, PFC, Rel Capital"
10 Nov 2016,"Buy SBI, Dr Reddy's Labs, Torrent Pharma, Bharat Forge: Gujral"
01 Nov 2016,"Buy MOIL; sell Bharat Financial, Torrent Pharma: Ashwani Gujral"
28 Oct 2016,"Tulsian's take on Eicher, other cos that reported Q2 earnings"
28 Oct 2016,"Sell Torrent Pharma, Godrej Ind; buy HDFC, Petronet: Gujral"
27 Oct 2016,"Sell Torrent Pharma, Bharat Financial, HUL: Ashwani Gujral"
27 Oct 2016,Torrent Pharma Q2 net dips 59% to Rs 207 cr
25 Oct 2016,Torrent Pharma Q2 profit seen down 52% on low operational income
21 Oct 2016,"Short Torrent Pharma; buy DLF, IRB Infra: Mitesh Thacker"
20 Oct 2016,"Buy Jain Irrigation, L&T; sell Torrent Pharma: Mitesh Thacker"
12 Oct 2016,Torrent invests Rs 188 cr to buy 75% stake in PurO Wellness
06 Oct 2016,"Sell Torrent Pharma, ICICI Bank; buy HPCL: Sandeep Wagle"
06 Oct 2016,"Buy Bajaj Finance, Arvind, HPCL, Torrent Pharma: Ashwani Gujral"
06 Oct 2016,"Bull's Eye: Buy Tata Coffee, Amara Raja, India Cements; sell Jet"
04 Oct 2016,"Buy United Spirits; sell Torrent Pharma, L&T: Ashwani Gujral"
27 Sep 2016,"Buy Havells, sell BEML: Sudarshan Sukhani"
27 Sep 2016,"Sell SBI, Bharti Airtel, Torrent Pharmaceuticals: Ashwani Gujral"
16 Sep 2016,"Sell Torrent Pharma, Tata Steel, Syndicate Bank: Sandeep Wagle"
10 Sep 2016,"Buy Torrent Pharma, Aurobindo; Lupin may hit Rs 1800: Gujral"
09 Sep 2016,"Buy Yes Bank, Apollo Tyres, PNB; sell HDFC, ITC: Ashwani Gujral"
09 Sep 2016,"Buy HCC, Bajaj Finserv, Torrent Pharma; sell Cairn: Gujral"
09 Sep 2016,"Buy Aurobindo Pharma, IOB; sell Jubilant Food: Mitesh Thacker"
08 Sep 2016,"Go long in Torrent Pharma, Marico, Syndicate Bank: Chaturmohta"
08 Sep 2016,"Buy Aurobindo Pharma, Stride Shasun, Torrent Pharma: Gujral"
26 Aug 2016,"Buy Indo Count, CESC; short Torrent Pharma: Amit Harchekar"
25 Aug 2016,"Here's why Tulsian is upbeat on cement cos, Torrent pharma"
23 Aug 2016,"Buy YES Bank, DHFL, Torrent Pharma: Ashwani Gujral"
19 Aug 2016,"Go long in Hindustan Zinc, Exide, Torrent Pharma: Chaturmohta"
18 Aug 2016,"Buy UltraTech Cement, IndusInd Bank, Torrent Pharma: Wagle"
18 Aug 2016,"Buy IndusInd Bank, Torrent Pharma, Gabriel India: Ashwani Gujral"
05 Aug 2016,"Buy Torrent Pharma, Ambuja Cements, Hindalco: Sandeep Wagle"
29 Jul 2016,"Checkout: SP Tulsian's views on Dish TV, Alembic Pharma, sugar"
29 Jul 2016,Hold Torrent Pharma; target of Rs 1560: Religare
27 Jul 2016,"Torrent Pharma Q1 net slumps 55% to Rs 292 cr, US biz hurts"
27 Jul 2016,Torrent Pharmaceuticals: Outcome of AGM
26 Jul 2016,"Torrent Pharma Q1 net may fall 23%, rev seen down; US biz key"
25 Jul 2016,"Buy Torrent Pharma, Divis Lab, LIC Housing, Adani Ports: Sukhani"
21 Jul 2016,"Buy Cadila Healthcare, ACC, Torrent Pharma, BPCL: Sandeep Wagle"
20 Jul 2016,Hold Torrent Pharma; target of Rs 1560: Religare
16 Jul 2016,Torrent Pharma Q1 PAT seen down by 9.6% at Rs 322.7 cr: Religare
14 Jul 2016,Torrent Pharma Q1 PAT seen down 1.7% to Rs 350.9 cr: Edelweiss
12 Jul 2016,Pick Britannia; PNC Infratech looks interesting: Pankaj Sharma
08 Jul 2016,"Sell REC, Idea Cellular; buy Torrent Pharma: Sandeep Wagle"
30 Jun 2016,Torrent Pharma to acquire Glochem's Vizag-based facility
30 Jun 2016,Torrent Pharma acquires manufacturing unit of Glochem Industries
30 Jun 2016,Here are a few investment ideas from Daljeet Singh Kohli
29 Jun 2016,"Torrent Pharmaceuticals' AGM on July 27, 2016"
23 Jun 2016,Sun Pharma bets on new products to boost US skincare items rise
09 Jun 2016,"BPCL may test Rs 1030, Torrent Pharma Rs 1480: Manoj Murlidharan"
04 Jun 2016,"HUL may test Rs 1050, Tata Motors Rs 550-600: Ashwani Gujral"
24 May 2016,"Buy Biocon, Dabur; sell Tata Steel, Ajanta Pharma: Gujral"
24 May 2016,Torrent Pharma Q4 net at Rs 357 cr
23 May 2016,Torrent Pharmaceuticals: Outcome of board meeting
21 May 2016,"Torrent Pharma Q4 net may jump 145%, margins likely at 30%"
20 May 2016,"Buy UPL, Tata Chemicals; sell Torrent Pharma: Ashwani Gujral"
20 May 2016,"Lupin may test Rs 1800-1900, GATI can touch Rs 155: Gujral"
06 May 2016,"Buy Union Bank, Karnataka Bank, Havells: Ashwani Gujral"
28 Apr 2016,"Torrent recalls 20,952 cartons of hypertension drug in US"
22 Apr 2016,6 stocks that you can bet for today
21 Apr 2016,"Buy Marico, UPL, Torrent Pharma: Sudarshan Sukhani"
12 Apr 2016,"Buy Jain Irrigation, midcap pharma, Rel Cap, Rel Infra: Gujral"
11 Apr 2016,"L&T Finance may test Rs 76, IRB Infra Rs 210: Prakash Gaba"
08 Apr 2016,"Buy Torrent Pharma, Ajanta Pharma; sell Mindtree: Ashwani Gujral"
08 Apr 2016,"Buy India Cements, Havells India: Ashwani Gujral"
06 Apr 2016,"Buy TCS, JSW Steel, Torrent Pharma, Ajanta Pharma: Gujral"
04 Apr 2016,"Buy Bata India, Torrent Pharma, Jet Airways: Sandeep Wagle"
23 Mar 2016,"Torrent Pharma seeks enabling nod to raise Rs 10,500 cr"
23 Mar 2016,Torrent Pharma: Outcome of board meeting
20 Mar 2016,"Torrent Pharma plans to raise funds via QIP, others"
18 Mar 2016,Torrent Pharma's Dahej plant receives EIR from USFDA
18 Mar 2016,Top buzzing stocks to trade on March 18
18 Mar 2016,Torrent Pharma gets establishment nod from USFDA
16 Mar 2016,"Buy BoB, Tata Steel; sell HUL: Ashwani Gujral"
16 Mar 2016,"Buy SBI, Axis Bank; Torrent Pharma may go down: Sukhani"
09 Mar 2016,"Prefer Aurobindo, Ajanta Pharma, Torrent Pharma: Gujral"
09 Mar 2016,Torrent Pharma declares second interim dividend
04 Mar 2016,Torrent Pharma may move to Rs 1460: Gaurang Shah
03 Mar 2016,"Buy Cipla, Torrent Pharma, HCL Tech: Manoj Murlidharan"
26 Feb 2016,"Buy Sun Pharma, sell banking stocks: Ashwani Gujral"
24 Feb 2016,"Sell Strides Shasun, Torrent Pharma, Aurobindo Pharma: Gujral"
19 Feb 2016,"Sell Asian Paints, Wockhardt; buy HUL, IndusInd Bank: Gujral"
18 Feb 2016,"Buy Sun Pharma, Cairn, Tata Steel, BoB, Torrent Pharma: Gujral"
17 Feb 2016,"Buy Torrent Pharma, Hindustan Unilever; sell BEML: Sukhani"
17 Feb 2016,"Buy BPCL, Adani Port, Kotak Mahindra Bank: Gujral"
16 Feb 2016,"Sell Torrent Pharma, Voltas; buy Bank of Baroda: Ashwani Gujral"
12 Feb 2016,Buy Torrent Pharma; target of Rs 1840: Edelweiss
12 Feb 2016,Hold Torrent Pharma; target of Rs 1560: Religare
08 Feb 2016,"Prefer pharma, Alembic Pharma looks interesting: Dipan Mehta"
