Time,Dates,Sources,Headlines
10.20 am , 28 Dec 2011 ,   Source: CNBC-TV18,Hero Motocorp has target of Rs 2050: Sukhani
1.42 pm , 27 Dec 2011 ,   Source: CNBC-TV18,Enter Hero Motocorp on lower levels: Phani Sekhar
10.41 am , 27 Dec 2011 ,   Source: CNBC-TV18,"Buy Hero MotoCorp on every decline, says Anu Jain"
10.36 am , 27 Dec 2011 ,   Source: CNBC-TV18,"TCS looks very strong, may test to Rs 1200 levels: Anu Jain"
10.15 am , 27 Dec 2011 ,   Source: Moneycontrol.com,Pair trade: Buy Hero Motocorp; Sell Bajaj Auto
5.44 pm , 26 Dec 2011 ,   Source: CNBC-TV18,"Buy Ambuja Cements on dips, says Sukhani"
10.36 am , 23 Dec 2011 ,   Source: PTI,"Plunging sales, strikes: 2011 a year to forget for auto cos"
1.00 pm , 20 Dec 2011 ,   Source: CNBC-TV18,"Sell Axis Bank, target of Rs 750: Sukhani"
7.50 am , 20 Dec 2011 ,   Source: Moneycontrol.com,Super Six stocks you can bet on Dec 20
8.37 am , 16 Dec 2011 ,   Source: Moneycontrol.com,6 stocks that should do well today
11.54 am , 15 Dec 2011 ,   Source: CNBC-TV18,"Buy Hero Moto, Bajaj Auto, M&M at current levels:  Tulsian"
9.02 am , 14 Dec 2011 ,   Source: CNBC-TV18,Hero Motocorp can touch Rs 2200: Sukhani
8.35 am , 13 Dec 2011 ,   Source: CNBC-TV18,Super Six intraday picks for the day
11.20 am , 02 Dec 2011 ,   Source: CNBC-TV18,"Bull's Eye: Short Arvind, Delta Corp; buys PFC, DCB"
1.26 pm , 01 Dec 2011 ,   Source: CNBC-TV18,Interest rate peaking next trigger for auto sector: Expert
8.37 am , 29 Nov 2011 ,   Source: CNBC-TV18,Super Six stocks that should do well today 
1.41 pm , 25 Nov 2011 ,   Source: CNBC-TV18,"Bull's Eye: Buy BHEL, SBI, Delta Corp; short Tata Steel"
3.00 pm , 24 Nov 2011 ,   Source: CNBC-TV18,Shivam Autotech to invest Rs 50cr for capex this year
6.09 pm , 18 Nov 2011 ,   Source: CNBC-TV18,"Hero Motocorp may rally upto Rs 3000, says Sukhani"
2.24 pm , 18 Nov 2011 ,   Source: CNBC-TV18,"Sell BHEL, says Sudarshan Sukhani"
9.30 am , 18 Nov 2011 ,   Source: CNBC-TV18,Super Six: Top chart picks for Friday
9.39 am , 14 Nov 2011 ,   Source: CNBC-TV18,Hero Motocorp has target of Rs 2900: Sukhani
11.47 am , 02 Nov 2011 ,   Source: CNBC-TV18,Buy Hero Motocorp 2100 Put: VK Sharma
1.23 pm , 31 Oct 2011 ,   Source: CNBC-Awaaz,"Buy Maruti Suzuki on dips, says Rakesh Bansal"
5.43 pm , 25 Oct 2011 ,   Source: CNBC-TV18,"Muhurat picks: Hero Motocorp, Thermax, says Tulsian"
4.28 pm , 25 Oct 2011 ,   Source: Moneycontrol.com,Motilal Oswal recommends 3 stocks for Muhurat trading
1.49 pm , 24 Oct 2011 ,   Source: CNBC-Awaaz,Hero Motocorp may go upto Rs 2200: Dharmesh Kant
9.38 am , 24 Oct 2011 ,   Source: CNBC-TV18,Tata Motors can move down to Rs 174: Anu Jain
7.00 pm , 22 Oct 2011 ,   Source: Moneycontrol.com,Hold Hero MotoCorp; target of Rs 2055: PINC Research
11.43 am , 21 Oct 2011 ,   Source: Moneycontrol.com,Bajaj Auto Q2 net misses forecast; how's the road ahead?
