Date,Open,Close,Label
02-01-2009,34.430698,34.8363,
05-01-2009,36.6073,35.311199,__label__2
06-01-2009,35.608101,36.894299,__label__2
07-01-2009,37.398899,34.4604,__label__2
09-01-2009,35.618,32.798199,__label__2
12-01-2009,33.025799,31.957199,__label__2
13-01-2009,31.957199,30.6908,__label__1
14-01-2009,31.2647,30.9382,__label__2
15-01-2009,30.255501,29.810301,__label__1
16-01-2009,30.651199,30.2654,__label__2
19-01-2009,30.4732,29.701401,__label__2
20-01-2009,29.701401,28.8407,__label__1
21-01-2009,29.087999,27.6831,__label__2
22-01-2009,28.059,26.297899,__label__2
23-01-2009,26.713499,26.7234,__label__2
27-01-2009,27.643499,27.7721,__label__2
28-01-2009,28.3262,29.0187,__label__2
29-01-2009,30.5721,30.087299,__label__2
30-01-2009,29.622299,29.6124,__label__1
02-02-2009,29.295799,28.444901,__label__1
03-02-2009,29.2265,26.3573,__label__2
04-02-2009,27.3071,26.8025,__label__2
05-02-2009,25.9813,25.9417,__label__1
06-02-2009,26.119801,27.2082,__label__2
09-02-2009,27.7029,28.019501,__label__2
10-02-2009,28.4944,27.346701,__label__2
11-02-2009,27.0103,26.931101,__label__1
12-02-2009,26.693701,26.970699,__label__1
13-02-2009,27.346701,27.257601,__label__2
16-02-2009,27.564301,26.9608,__label__2
17-02-2009,26.693701,25.882401,__label__1
18-02-2009,25.7241,26.3771,__label__1
19-02-2009,26.020901,26.624399,__label__1
20-02-2009,26.317699,26.466101,__label__1
24-02-2009,26.4167,26.139601,__label__1
25-02-2009,26.713499,27.7227,__label__2
26-02-2009,28.088699,29.6717,__label__2
27-02-2009,30.0774,29.5431,__label__2
02-03-2009,28.909901,28.8011,__label__1
03-03-2009,29.2859,28.068899,__label__2
04-03-2009,28.6329,28.316299,__label__2
05-03-2009,28.8901,27.5742,__label__2
06-03-2009,26.7432,27.435699,__label__1
09-03-2009,27.7029,27.040001,__label__2
12-03-2009,27.6831,28.9,__label__2
13-03-2009,29.879499,31.996799,__label__2
16-03-2009,32.4025,32.986198,__label__2
