Time,Dates,Sources,Headlines
4.34 pm , 24 Dec 2015 ,   Source: CNBC-TV18,"Pick Kotak Mah Bank, IndusInd Bank: SP Tulsian"
3.13 pm , 23 Dec 2015 ,   Source: CNBC-TV18,Sell Bank of India; prefer IndusInd Bank: Pankaj Jain
3.52 pm , 22 Dec 2015 ,   Source: CNBC-TV18,"Short Lupin, Kotak Mahindra Bank: Amit Harchekar"
10.05 am , 22 Dec 2015 ,   Source: CNBC-TV18,Hope to become a big player in dairy biz: Adi Godrej
9.21 pm , 21 Dec 2015 ,   Source: PTI,Kotak Mahindra Bank buys stake worth Rs 91cr in Godrej Prop
10.40 am , 21 Dec 2015 ,   Source: CNBC-TV18,Bank of Baroda may slip to Rs 152-155: Rajat Bose
9.40 am , 18 Dec 2015 ,   Source: CNBC-TV18,"Sell Axis Bank, target Rs 425.50: Rajat Bose"
12.41 pm , 17 Dec 2015 ,   Source: CNBC-TV18,"Buy Kotak Bank 780 Call, Axis Bank 445 Call: VK Sharma"
9.46 am , 16 Dec 2015 ,   Source: CNBC-TV18,"Like Kotak Bank, Colgate; buy India Cements: Prakash Gaba"
9.08 pm , 15 Dec 2015 ,   Source: PTI,Canada's Pension Fund invests Rs 1000 cr in L&T's infra arm
4.31 pm , 15 Dec 2015 ,   Source: CNBC-TV18,"Buy Pidilite Ind, bullish on Kotak Bank: Parag Thakkar"
3.07 pm , 15 Dec 2015 ,   Source: CNBC-TV18,Buy Kotak Mahindra Bank; sell Wipro: Manas Jaiswal
2.43 pm , 11 Dec 2015 ,   Source: CNBC-TV18,Buy Suven Life Sciences: Rajat Bose
10.41 am , 11 Dec 2015 ,   Source: CNBC-TV18,"Buy Yes Bank 700 Put, Kotak Bank 680 Call: VK Sharma"
9.49 pm , 10 Dec 2015 ,   Source: PTI,"Citi, SBI Caps, 6 others in race to manage Concor sale"
10.46 am , 08 Dec 2015 ,   Source: PTI,Alibaba.com aims to more than double India user base
4.11 pm , 02 Dec 2015 ,   Source: CNBC-TV18,"Sell IDFC on rallies, says Pankaj Jain"
2.24 pm , 27 Nov 2015 ,   Source: CNBC-TV18,Expect RBI Guv to hold rates on Tuesday: Uday Kotak
1.36 pm , 23 Nov 2015 ,   Source: CNBC-TV18,"Look at auto, bank, OMC space: Rahul Shah"
1.34 pm , 23 Nov 2015 ,   Source: CNBC-TV18,Buy Kotak Mahindra Bank: Rahul Shah
4.09 pm , 20 Nov 2015 ,   Source: CNBC-TV18,"Buy Eicher Motors on dips, says Gaurang Shah"
5.11 pm , 19 Nov 2015 ,   Source: CNBC-TV18,Prefer Kotak Mahindra Bank: Prakash Diwan
12.29 pm , 16 Nov 2015 ,   Source: CNBC-TV18,Kotak Mahindra Bank may test Rs 700: Rahul Shah
11.31 am , 16 Nov 2015 ,   Source: CNBC-TV18,Kotak Mahindra Bank may touch Rs 685-690: Hemant Thukral
1.50 pm , 13 Nov 2015 ,   Source: CNBC-TV18,Kotak Bank may test Rs 693; short Cairn India: Jaiswal
1.02 pm , 08 Nov 2015 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 659 Edelweiss
1.08 pm , 04 Nov 2015 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 685: KRChoksey
11.59 am , 04 Nov 2015 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 659:Edelweiss
3.00 pm , 03 Nov 2015 ,   Source: Moneycontrol.com,Accumulate Kotak Bank; target of Rs 715: P Lilladher
2.13 pm , 03 Nov 2015 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, says Amit Harchekar"
1.14 pm , 02 Nov 2015 ,   Source: CNBC-TV18,"Go long in Kotak Mahindra Bank, target Rs 715: Rahul Shah"
11.42 am , 02 Nov 2015 ,   Source: CNBC-TV18,Kotak Mahindra Bank may test Rs 710-715: Hemant Thukral
4.38 pm , 30 Oct 2015 ,   Source: CNBC-TV18,"Prefer ICICI Bank, can rise by 3-4%: Rajat Bose"
12.59 pm , 30 Oct 2015 ,   Source: Moneycontrol.com,Kotak Mahindra Bank Q2 profit jumps 3-fold to Rs 569.5 cr
4.23 pm , 29 Oct 2015 ,   Source: CNBC-TV18,"Sell YES Bank, L&T; buy ONGC on dips: Siddarth Bahmre"
11.05 am , 28 Oct 2015 ,   Source: CNBC-TV18,Scope for 25-50 bps fall in lending rates: HDFC Bank
1.51 pm , 26 Oct 2015 ,   Source: CNBC-TV18,Loan rejig to pare finance cost by Rs 110cr: Sadbhav Infra
2.00 pm , 24 Oct 2015 ,   Source: CNBC-TV18,Larger banks too will feel heat of payment bks: AK Purwar
4.36 pm , 15 Oct 2015 ,   Source: CNBC-TV18,"Money laundering scam: ICICI, OBC, Axis Bank in ED's net"
2.29 pm , 13 Oct 2015 ,   Source: PTI,Kotak rolls out mobile banking app with no Internet
9.50 am , 13 Oct 2015 ,   Source: CNBC-TV18,"Go long in PNB, target Rs 149-150: Siddarth Bahmre"
1.15 pm , 12 Oct 2015 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank 670 call, says Rahul Shah"
9.43 am , 08 Oct 2015 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, says Sudarshan Sukhani"
7.47 am , 07 Oct 2015 ,   Source: PTI,"NCDEX, Kotak Mahindra Bk pact to provide commodities loans"
1.12 pm , 05 Oct 2015 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, says Rahul Shah"
7.11 pm , 01 Oct 2015 ,   Source: PTI,Dena Bank reduces base rate by 0.30% to 9.70%
