Time,Dates,Sources,Headlines
8.39 am , 03 Dec 2019 ,   Source: Moneycontrol.com,"Hot Stocks: Stay bullish on Nifty with stop-loss at 11,883 for target of 12,300"
9.11 am , 11 Nov 2019 ,   Source: Moneycontrol.com,"Top buy and sell ideas by Ashwani Gujral, Prakash Gaba, Sudarshan Sukhani for short term"
7.52 am , 23 Oct 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank: Asset quality takes away sheen, buy on weakness"
7.54 am , 16 Oct 2019 ,   Source: Moneycontrol.com,"Podcast | Hot Stocks: Another round of short coverings could take Nifty towards 11,550"
9.18 am , 23 Jul 2019 ,   Source: Moneycontrol.com,Kotak Mahindra Bank: Ideally placed to negotiate a difficult environment; buy on dips
1.39 pm , 12 Jul 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q1 Net Profit seen up 35.6% YoY to Rs. 1,390 cr: Sharekhan"
7.56 pm , 03 Jun 2019 ,   Source: Moneycontrol.com,CII pitches for reducing cost of equity
7.47 am , 05 May 2019 ,   Source: Moneycontrol.com,"Below 11,650, Nifty may drift towards 11,600-11,550; 4 stocks could give 4-8% upside"
4.03 pm , 03 May 2019 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 1500: ICICI Direct
3.41 pm , 02 May 2019 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1554: Nalanda Securities
3.30 pm , 02 May 2019 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 1385: Prabhudas Lilladher
3.18 pm , 02 May 2019 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1481: HDFC Securities
1.55 pm , 02 May 2019 ,   Source: Moneycontrol.com,Accumulate Kotak Mahindra Bank; target of Rs 1550: Dolat Capital
9.58 am , 02 May 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q4 profit jumps 25% YoY; should you buy, sell or hold?"
9.22 am , 02 May 2019 ,   Source: Moneycontrol.com,Ideas for Profit | Kotak Mahindra Bank: Look to own this stock on any correction
9.40 pm , 30 Apr 2019 ,   Source: PTI,"Uday Kotak warns of more liquidity squeeze, muddying waters for financial sector again"
3.05 pm , 30 Apr 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Consolidated March 2019 Net Interest Income (NII) at Rs 4,001.02 crore, up  18.07% Y-o-Y"
3.05 pm , 30 Apr 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Standalone March 2019 Net Interest Income (NII) at Rs 3,047.87 crore, up  18.15% Y-o-Y"
2.36 pm , 30 Apr 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q4 profit jumps 25% YoY to Rs 1,408 cr"
9.35 am , 30 Apr 2019 ,   Source: Moneycontrol.com,"Kotak Bank Q4 preview: Net profit, NII expected to grow in double digits"
8.19 am , 30 Apr 2019 ,   Source: Moneycontrol.com,"Top buy and sell ideas by Sudarshan Sukhani, Mitessh Thakkar for short term"
8.40 pm , 25 Apr 2019 ,   Source: PTI,"Kotak Mahindra Investments exits Matrix, sells 19.77% stake for Rs 10 crore"
8.20 am , 24 Apr 2019 ,   Source: Moneycontrol.com,"As RBI and Kotak Bank spar over promoter stake rule, experts feel spirit of law at stake"
8.10 pm , 17 Apr 2019 ,   Source: PTI,Kotak Bank drags Ballarpur group firm to NCLT now
9.13 pm , 12 Apr 2019 ,   Source: Moneycontrol.com,"RBI rate cuts to boost demand, focus should be on 7% GDP growth: Uday Kotak"
3.05 pm , 09 Apr 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q4 Net Profit seen up 23.5% YoY to Rs. 1,388 cr: Motilal Oswal"
6.05 pm , 05 Apr 2019 ,   Source: Moneycontrol.com,Lakshmi Vilas Bank approves merger with Indiabulls Housing Finance
12.42 pm , 19 Mar 2019 ,   Source: PTI,Kotak Mahindra group sets up $400 mn fund with DivyaSree to build office properties
6.30 pm , 28 Feb 2019 ,   Source: PTI,Kotak Bank lowers lending rate by a marginal 5 bps
6.50 pm , 22 Feb 2019 ,   Source: Moneycontrol.com,ING Group sells entire 3% stake in Kotak Mahindra Bank
5.08 pm , 19 Feb 2019 ,   Source: Moneycontrol.com,Opinion | When the bubble bursts
4.07 pm , 18 Feb 2019 ,   Source: CNBC-TV18,Uday Kotak believes it is time for consolidation in NBFC space
8.42 am , 11 Feb 2019 ,   Source: Moneycontrol.com,"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term"
8.28 am , 06 Feb 2019 ,   Source: Moneycontrol.com,"Podcast | Stock picks of the day: 'Nifty likely to hover in 10,600-11,000 range'"
1.12 pm , 30 Jan 2019 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 1291: Prabhudas Lilladher
8.32 am , 30 Jan 2019 ,   Source: Moneycontrol.com,Accumulate Kotak Mahindra Bank; target of Rs 1420 : Dolat Capital
12.15 pm , 29 Jan 2019 ,   Source: Moneycontrol.com,Transcript| Kotak Mahindra Bank Q3 FY19 Earnings Conference Call
4.49 pm , 25 Jan 2019 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1400: HDFC Securities
4.11 pm , 25 Jan 2019 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 1400: ICICI Direct
11.47 am , 22 Jan 2019 ,   Source: Moneycontrol.com,Kotak Mahindra Bank Q3 review: An ideal long-term compounding candidate
2.48 pm , 21 Jan 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Consolidated December 2018 Net Interest Income (NII) at Rs 3,804.05 crore, Up  19.4% Y-o-Y."
2.48 pm , 21 Jan 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Standalone December 2018 Net Interest Income (NII) at Rs 2,939.08 crore, up  22.78% Y-o-Y"
2.47 pm , 21 Jan 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q3 Review – capital market-linked biz soft, but steady overall show"
1.00 pm , 21 Jan 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q3 profit jumps 23 percent to Rs 1,291 crore; asset quality improves"
2.59 pm , 15 Jan 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q3 Net Profit seen up 19% YoY to Rs. 1,252.9 cr: Sharekhan"
2.59 pm , 15 Jan 2019 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q3 Net Profit seen up 19% YoY to Rs. 1,252.9 cr: Sharekhan"
10.44 pm , 01 Jan 2019 ,   Source: Moneycontrol.com,"NBFC sector remains fragile, but seeing signs of recovery: Uday Kotak"
1.01 pm , 17 Dec 2018 ,   Source: Moneycontrol.com,HC refuses to stay Dec 31 deadline for Kotak Mahindra Bank promoter stake dilution
1.37 pm , 10 Dec 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank tanks 6% as it moves Bombay HC against RBI order
8.42 pm , 07 Dec 2018 ,   Source: PTI,"Kotak Mahindra, Saraswat Bank launch services on WhatsApp"
10.47 am , 04 Dec 2018 ,   Source: Moneycontrol.com,"Buy Kotak Mahindra Bank, target Rs 1325: Vinay Rajani"
9.43 pm , 29 Nov 2018 ,   Source: Moneycontrol.com,"Independent directors have role of knowledge, scale and input; but don't push too hard: Uday Kotak"
8.05 pm , 15 Nov 2018 ,   Source: PTI,"ING sells Kotak Mahindra Bank shares worth Rs 1,440cr"
10.02 am , 15 Nov 2018 ,   Source: Moneycontrol.com,ING to sell 3.7% stake in Kotak Mahindra Bank this week: Report
1.10 pm , 13 Nov 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank Q2 FY19 Earnings Conference Call
2.47 pm , 05 Nov 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1461: KR Choksey
11.49 am , 01 Nov 2018 ,   Source: Moneycontrol.com,"Sell Kotak Mahindra Bank, target Rs 990: Aditya Agarwala"
11.49 am , 01 Nov 2018 ,   Source: Moneycontrol.com,"Sell Kotak Mahindra Bank, target Rs 990: Aditya Agarwala"
8.23 am , 01 Nov 2018 ,   Source: Moneycontrol.com,Podcast | Stock picks of the day: PI Industries among stocks that could return 14% in November
3.36 pm , 26 Oct 2018 ,   Source: Moneycontrol.com,Buy Mahindra Finance; target of Rs 550: JM Financial
3.36 pm , 26 Oct 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1300: JM Financial
3.36 pm , 26 Oct 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1400: ICICI Direct
3.36 pm , 26 Oct 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank ; target of Rs 1377: HDFC Securities
5.26 pm , 25 Oct 2018 ,   Source: Moneycontrol.com,Accumulate Kotak Mahindra Bank; target of Rs 1325: Dolat Capital
5.12 pm , 25 Oct 2018 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 1291: Prabhudas Lilladher
5.11 pm , 25 Oct 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1371: Nalanda Securities
2.34 pm , 25 Oct 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank Q2: CLSA upgrades rating to buy; brokerages wary of promoter stake dilution
11.58 am , 25 Oct 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank posts steady Q2; promoters’ stake dilution the sole overhang
9.50 pm , 24 Oct 2018,@,Kotak Bank temporarily suspends digital account opening platform 811
1.53 pm , 24 Oct 2018,@,"Kotak Mahindra Consolidated September 2018 Net Interest Income (NII) at Rs 3,538.36 crore, Up  14.69% Q-o-Q."
1.52 pm , 24 Oct 2018,@,"Kotak Mahindra Standalone September 2018 Net Interest Income (NII) at Rs 2,689.10 crore, up  16.28% Q-o-Q"
1.05 pm , 24 Oct 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q2 profit rises 15% to Rs 1,142 cr, asset quality improves"
11.45 am , 24 Oct 2018 ,   Source: Moneycontrol.com,Kotak Bank likely to post double-digit Q2 profit growth with stable asset quality
2.39 pm , 22 Oct 2018 ,   Source: Moneycontrol.com,IL&FS may seek government bailout: Report
11.43 am , 04 Oct 2018 ,   Source: Moneycontrol.com,Proxy firms question appointment of GN Bajpai to new IL&FS board
2.52 pm , 03 Oct 2018 ,   Source: Moneycontrol.com,Kotak Bank-Yes Bank: A deal amid adversity?
2.35 pm , 02 Oct 2018 ,   Source: Moneycontrol.com,IL&FS timeline: When and what happened so far
11.29 am , 14 Sep 2018 ,   Source: Moneycontrol.com,"Buy Kotak Mahindra Bank, target Rs 1310: Rupak De"
8.17 am , 11 Sep 2018 ,   Source: Moneycontrol.com,"Strong support for Nifty at 11,393 for Tuesday. Here are 3 buy/sell calls by Equity99"
3.32 pm , 30 Aug 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1544: KR Choksey
7.08 pm , 17 Aug 2018 ,   Source: Moneycontrol.com,Why it's time to relook the RBI policy on bank ownership
8.05 pm , 16 Aug 2018 ,   Source: PTI,Kotak Mahindra Bank to open over 100 branches in FY 19
6.24 pm , 14 Aug 2018 ,   Source: Moneycontrol.com,RBI says Kotak Mahindra Bank's preference issue does not meet dilution norms
1.21 pm , 07 Aug 2018 ,   Source: Moneycontrol.com,"Mahindra & Mahindra Q1 net profit rises 67% at Rs 1,257 cr, ahead of estimates"
10.38 am , 06 Aug 2018 ,   Source: CNBC-TV18,Kotak Mahindra Bank preference share issue: Wrong way to do the right thing
2.40 pm , 03 Aug 2018 ,   Source: PTI,Uday Kotak trims stake in Kotak Mahindra Bank to 19.70%
6.40 pm , 01 Aug 2018 ,   Source: PTI,Kotak Bank gets nod to raise Rs 500 cr by issuing preference shares
5.14 pm , 26 Jul 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1526: KR Choksey
4.49 pm , 26 Jul 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1378: HDFC Securities
4.23 pm , 24 Jul 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1421: Edelweiss
4.10 pm , 24 Jul 2018 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 1398: Prabhudas Lilladher
5.10 pm , 23 Jul 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1490: ICICI Direct
10.42 am , 23 Jul 2018 ,   Source: Moneycontrol.com,"Jefferies downgrades Kotak Mahindra Bank to Underperform, cuts target price"
11.45 am , 20 Jul 2018 ,   Source: Moneycontrol.com,"Ideas for Profit: Weaker headline masks core strength in Kotak Mahindra Bank, buy on consolidation"
1.01 pm , 19 Jul 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q1 net profit up 12.3% at Rs 1,025 cr, provisions up 130%"
4.14 pm , 18 Jul 2018 ,   Source: Moneycontrol.com,Q1 Preview: Kotak Mahindra Bank net profit expected to rise 28%
8.35 pm , 15 Jun 2018 ,   Source: PTI,"Kotak Mahindra Bank to raise up to Rs 5,000 cr via securities"
6.55 pm , 12 Jun 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank is in no mood to sell its 15% stake in MCX: Uday Kotak
5.49 pm , 15 May 2018 ,   Source: Moneycontrol.com,"Corporates hit out against hate-mongering again, sack employee for tweeting calls for rape"
5.17 pm , 07 May 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1440: ICICI Direct
5.08 pm , 07 May 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1366: Edelweiss
5.01 pm , 07 May 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1402: KR Choksey
4.53 pm , 07 May 2018 ,   Source: Moneycontrol.com,Accumulate Kotak Mahindra Bank; target of Rs 1239: Prabhudas Lilladher
5.00 pm , 04 May 2018 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1400: Motilal Oswal
2.47 pm , 02 May 2018 ,   Source: Moneycontrol.com,Invest in Kotak Mahindra Bank for long term: Akash Jain
9.51 am , 02 May 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank: Stock yet to fully value subsidiaries
2.18 pm , 30 Apr 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q4 net profit up 15% YoY at Rs 1,124 crore, misses estimates"
1.21 pm , 30 Apr 2018 ,   Source: Moneycontrol.com,Kotak Bank expected to post 20% rise in Q4 net profit
3.31 pm , 27 Apr 2018 ,   Source: Moneycontrol.com,Shikha Sharma puts up a brave front even as Axis Bank posts record loss
4.15 pm , 26 Apr 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q4 PAT seen up 21% YoY to Rs. 1,576.9 cr: Edelweiss"
3.14 pm , 26 Apr 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q4 PAT seen up 18% YoY to Rs. 1,152.4 cr: ICICI Direct"
1.45 pm , 26 Apr 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q4 PAT seen up 19% YoY to Rs. 1,159.3 cr: KR Choksey"
8.09 pm , 13 Apr 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank sacks employee for hate post against Kathua rape victim
8.08 pm , 12 Apr 2018 ,   Source: PTI,Kotak Mahindra Bank says business not impacted by payments banks
7.38 pm , 12 Apr 2018 ,   Source: PTI,Govt needs to re-look at certain provisions of IBC: Uday Kotak
11.59 am , 06 Apr 2018 ,   Source: Moneycontrol.com,"Buy Kotak Mahindra Bank, target Rs 1240: Hadrien Mendonca"
2.25 pm , 05 Apr 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank to consider March quarter results on April 30, 2018"
1.25 pm , 27 Mar 2018 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Axis Bank, PNB Housing, Escorts, SREI Infra, Bajaj Auto: Ashwani Gujral"
8.56 am , 21 Mar 2018 ,   Source: Moneycontrol.com,"Uday Kotak calls on Modi govt to set up a committee on ownership, governance and risks"
10.29 am , 13 Mar 2018 ,   Source: CNBC-TV18,"Buy Kotak Bank, Shriram Transport, Tata Global, HDFC, TCS, L&T, ACC; sell CESC, Cummins: Sudarshan Sukhani"
12.16 pm , 07 Mar 2018 ,   Source: CNBC-TV18,"Sell Canara Bank, Punjab National Bank; buy Ashok Leyland: Ashwani Gujral"
1.54 pm , 28 Feb 2018 ,   Source: CNBC-TV18,See overall credit growth picking up in banking system: Kotak Mahindra
3.00 pm , 10 Feb 2018 ,   Source: PTI,Embarrassed about stressed assets in banking sector: Uday Kotak
4.49 pm , 05 Feb 2018 ,   Source: CNBC-TV18,"Sell Kotak Mahindra Bank, Godrej Industries: Sandeep Wagle"
2.42 pm , 29 Jan 2018 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Tata Steel, Tech Mahindra: Rahul Shah"
4.37 pm , 22 Jan 2018 ,   Source: Moneycontrol.com,Accumulate Kotak Mahindra Bank; target of Rs 1172: KRChoksey
12.30 pm , 22 Jan 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank gains 2% post Q3 results; brokerages term it a stable quarter
9.09 pm , 19 Jan 2018 ,   Source: Moneycontrol.com,Kotak Bank awaits pricing cues and resolutions under IBC to start buying stressed assets
8.28 pm , 19 Jan 2018 ,   Source: Moneycontrol.com,Kotak Mahindra Bank opposes 100% FDI in banking; says Indian savers must benefit
4.15 pm , 19 Jan 2018 ,   Source: Moneycontrol.com,"News highlights of the day: World wants to hear directly from horse's mouth, says PM Modi on Davos"
1.06 pm , 19 Jan 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q3: Standalone profit rises 20% to Rs 1,053 cr; asset quality improves"
5.58 pm , 18 Jan 2018 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q3 profit may rise 21%, low cost deposit flow could be strong"
12.18 pm , 16 Jan 2018 ,   Source: Moneycontrol.com,News highlights of the day: AirAsia India says no plans to look at Air India stake
2.45 pm , 15 Jan 2018 ,   Source: CNBC-TV18,"Merged entity to focus on branch expansion, cross selling products: Capital First"
2.45 pm , 15 Jan 2018 ,   Source: CNBC-TV18,"Merged entity to focus on branch expansion, cross selling products: Capital First"
2.32 pm , 15 Jan 2018 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, UltraTech Cement: Mitessh Thakkar"
9.06 am , 15 Jan 2018 ,   Source: NEWS18.com,"Uday Kotak calls rising financial savings a 'bubble', says money going into few hundred stocks"
9.00 pm , 12 Jan 2018 ,   Source: Moneycontrol.com,Banking sector this week: Results season kicks off with treasury blues; Aadhaar turns more secure
8.46 pm , 20 Dec 2017 ,   Source: Moneycontrol.com,ATM breach: How to take precautions pre and post debit or credit card use
6.01 pm , 18 Dec 2017 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank to buy mid-sized stressed assets from IBC but price has to evolve: Dipak Gupta, joint MD"
3.03 pm , 13 Dec 2017 ,   Source: CNBC-TV18,Kotak Mahindra Bank can climb to around Rs 1060: Prakash Gaba
1.21 pm , 13 Dec 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Sun TV: Sandeep Wagle"
4.34 pm , 08 Dec 2017 ,   Source: Moneycontrol.com,"Global investors are reaping benefits of HDFC growth story, not Indians: Uday Kotak"
3.58 pm , 04 Dec 2017 ,   Source: CNBC-TV18,"Sell Kotak Mahindra Bank, Oriental Bank; buy Mindtree, IGL: Mitessh Thakkar"
3.24 pm , 15 Nov 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank; sell Godrej Industries, Bajaj Finserv, BHEL: Mitessh Thakkar"
5.31 pm , 30 Oct 2017 ,   Source: Moneycontrol.com,Accumulate Kotak Mahindra Bank; target of Rs 1104: KR Choksey
5.13 pm , 30 Oct 2017 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1075: JM Financial
5.37 pm , 27 Oct 2017 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1179: Motilal Oswal
5.04 pm , 26 Oct 2017 ,   Source: Moneycontrol.com,"Hold Kotak Mahindra Bank; target of Rs 1,056: Edelweiss"
1.30 pm , 26 Oct 2017 ,   Source: Moneycontrol.com,Analysts remain neutral on Kotak Mahindra Bank despite better Q2 performance
9.17 am , 26 Oct 2017 ,   Source: CNBC-TV18,"Buy, Sell, Hold: 6 stocks are on analysts’ radar today"
1.21 pm , 25 Oct 2017 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank Q2 profit rises 22%, loan book grows 21%; asset quality improves"
7.54 pm , 24 Oct 2017 ,   Source: CNBC-TV18,"Kotak Mahindra Bank Q2 profit seen up 24%, loan growth may be around 15%"
4.15 pm , 05 Oct 2017 ,   Source: CNBC-TV18,Kotak Mahindra Bank may test Rs 1500: Ashwani Gujral
2.50 pm , 22 Sep 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Cipla; sell SREI Infrastructure: Ashwani Gujral"
3.37 pm , 19 Sep 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Reliance Industrial Infrastructure: Mitessh Thakkar"
3.44 pm , 12 Sep 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Adani Enterprises: Mitessh Thakkar"
7.27 pm , 06 Sep 2017 ,   Source: Moneycontrol.com,"Digital payments growth dips 27% in Aug from peak; BHIM, UPI to take charge"
9.02 am , 06 Sep 2017 ,   Source: Moneycontrol.com,"JPMorgan upgrades Kotak Mahindra Bank, ups target on hopes of strong growth"
10.53 am , 02 Sep 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank: Updates
12.43 pm , 01 Sep 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Asian Paints, CESC: Ashwani Gujral"
3.22 pm , 21 Aug 2017 ,   Source: CNBC-TV18,"Sell Kotak Mahindra Bank, Dabur India: Mitessh Thakkar"
9.52 am , 04 Aug 2017 ,   Source: CNBC-TV18,Need to be cautious about cutting rates for accounts below Rs 1cr: Kotak Mahindra
3.01 pm , 03 Aug 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank holds retail savings rate
1.50 pm , 27 Jul 2017 ,   Source: Moneycontrol.com,A further re-rating on the cards for Yes Bank?
5.34 pm , 25 Jul 2017 ,   Source: Moneycontrol.com,Accumulate Kotak Mahindra Bank; target of Rs 1104: KR Choksey
3.24 pm , 25 Jul 2017 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 970: ICICI Direct
1.34 pm , 24 Jul 2017 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1109: HDFC Securities
9.12 am , 22 Jul 2017 ,   Source: Moneycontrol.com,"Banking Wrap: Essar Steel plea against RBI dismissed, ICICI Bank offers ATM loans"
4.15 pm , 21 Jul 2017 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 1001: Edelweiss
9.06 am , 21 Jul 2017 ,   Source: CNBC-TV18,"Buy, Sell, Hold: Analysts are watching these 3 stocks today. Do you have them in your portfolio?"
8.45 am , 21 Jul 2017 ,   Source: PTI,"Kotak Mahindra Bank to raise Rs 65,000 cr"
9.55 pm , 20 Jul 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank's exposure at Rs 236 cr to 4 of 12 NPAs on RBI radar
8.01 pm , 20 Jul 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank Q1 FY18 – Well-capitalised and ready for leap
2.57 pm , 20 Jul 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, says Rajat Bose"
1.39 pm , 20 Jul 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank hits 52-week high; top 5 takeaways from Q1 results
11.04 am , 20 Jul 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank Q1 profit at Rs 913 cr misses estimates; NPA lower at 1.25%
5.35 pm , 19 Jul 2017 ,   Source: CNBC-TV18,"Kotak Mahindra Bank Q1 profit seen up 40%, low cost deposit flow may be strong"
10.34 am , 17 Jul 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, JSW Steel, ICICI Bank: Yogesh Mehta"
9.57 am , 28 Jun 2017 ,   Source: Moneycontrol.com,"Kotak Mahindra Bank's board meeting on July 20, 2017"
9.38 am , 17 Jun 2017 ,   Source: Moneycontrol.com,Conviction Buys! Top 22 stocks where fund managers hold more than 2% in portfolio
2.39 pm , 02 Jun 2017 ,   Source: Moneycontrol.com,"Banking industry in its current form is unsustainable, says Uday Kotak"
1.54 pm , 25 May 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Tata Motors, CG Power: CA Rudramurthy"
12.16 pm , 22 May 2017 ,   Source: CNBC-TV18,Uday Kotak sells 1.8 crore shares in Kotak Mahindra Bank: Sources
3.27 pm , 19 May 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, GMDC; sell Sun TV: Ashwani Gujral"
6.27 pm , 17 May 2017 ,   Source: PTI,"Kotak Mahindra Bank raises Rs 5,800 cr via QIP"
5.31 pm , 17 May 2017 ,   Source: PTI,Kotak sees a blockchain banking consortium in future
5.06 pm , 15 May 2017,@,"Indian banks don't Wannacry; RBI tells them to upgrade ops, ATMs"
2.01 pm , 15 May 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank﻿, Godrej Industries, NMDC: Rahul Shah"
3.03 pm , 12 May 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, says Sandeep Wagle"
9.00 am , 12 May 2017 ,   Source: Reuters,"Kotak Mahindra Bank to price share offer at top of range, raising $901 million"
5.25 pm , 11 May 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank board approves QIP at Rs 913.24 per share
3.59 pm , 10 May 2017 ,   Source: CNBC-TV18,Kotak Mah Bank likely to launch a QIP this week; looks to raise over Rs 5K cr: Srcs
2.23 pm , 10 May 2017 ,   Source: CNBC-TV18,"Buy Kotak Mahindra Bank, Bajaj Finance, Britannia Industries: Yogesh Mehta"
10.55 pm , 09 May 2017 ,   Source: Moneycontrol.com,Kotak Mahindra Bank: Outcome of EGM
3.28 pm , 05 May 2017 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 965: Axis Direct
9.21 am , 03 May 2017 ,   Source: CNBC-TV18,"Buy Kotak Bank, Bajaj Auto, GSPL, Sharda Cropchem; sell SAIL: Sudarshan Sukhani"
6.36 pm , 02 May 2017 ,   Source: PTI,KMB banks on '811' to double its customer base in two years
4.28 pm , 02 May 2017 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 950: ICICI Direct
7.17 pm , 28 Apr 2017 ,   Source: Moneycontrol.com,Kotak Bank to buy out Old Mutual's insurance stake for Rs 1292 crore
5.07 pm , 28 Apr 2017 ,   Source: Moneycontrol.com,Hold Kotak Mahindra Bank; target of Rs 896: Edelweiss
4.17 pm , 28 Apr 2017 ,   Source: Moneycontrol.com,Buy Kotak Mahindra Bank; target of Rs 1050: Motilal Oswal
3.03 pm , 28 Apr 2017 ,   Source: Moneycontrol.com,Here’s what analysts are talking about Kotak Mahindra Bank’s Q4 performance
