Dates,Headlines
24 Oct 2018,"Kotak Mahindra Consolidated September 2018 Net Interest Income (NII) at Rs 3,538.36 crore, Up  14.69% Q-o-Q."
24 Oct 2018,"Kotak Mahindra Standalone September 2018 Net Interest Income (NII) at Rs 2,689.10 crore, up  16.28% Q-o-Q"
24 Oct 2018,"Kotak Mahindra Bank Q2 profit rises 15% to Rs 1,142 cr, asset quality improves"
24 Oct 2018,Kotak Bank likely to post double-digit Q2 profit growth with stable asset quality
22 Oct 2018,IL&FS may seek government bailout: Report
04 Oct 2018,Proxy firms question appointment of GN Bajpai to new IL&FS board
03 Oct 2018,Kotak Bank-Yes Bank: A deal amid adversity?
02 Oct 2018,IL&FS timeline: When and what happened so far
14 Sep 2018,"Buy Kotak Mahindra Bank, target Rs 1310: Rupak De"
11 Sep 2018,"Strong support for Nifty at 11,393 for Tuesday. Here are 3 buy/sell calls by Equity99"
30 Aug 2018,Buy Kotak Mahindra Bank; target of Rs 1544: KR Choksey
17 Aug 2018,Why it's time to relook the RBI policy on bank ownership
16 Aug 2018,Kotak Mahindra Bank to open over 100 branches in FY 19
14 Aug 2018,RBI says Kotak Mahindra Bank's preference issue does not meet dilution norms
07 Aug 2018,"Mahindra & Mahindra Q1 net profit rises 67% at Rs 1,257 cr, ahead of estimates"
06 Aug 2018,Kotak Mahindra Bank preference share issue: Wrong way to do the right thing
03 Aug 2018,Uday Kotak trims stake in Kotak Mahindra Bank to 19.70%
01 Aug 2018,Kotak Bank gets nod to raise Rs 500 cr by issuing preference shares
26 Jul 2018,Buy Kotak Mahindra Bank; target of Rs 1526: KR Choksey
26 Jul 2018,Buy Kotak Mahindra Bank; target of Rs 1378: HDFC Securities
24 Jul 2018,Buy Kotak Mahindra Bank; target of Rs 1421: Edelweiss
24 Jul 2018,Hold Kotak Mahindra Bank; target of Rs 1398: Prabhudas Lilladher
23 Jul 2018,Buy Kotak Mahindra Bank; target of Rs 1490: ICICI Direct
23 Jul 2018,"Jefferies downgrades Kotak Mahindra Bank to Underperform, cuts target price"
20 Jul 2018,"Ideas for Profit: Weaker headline masks core strength in Kotak Mahindra Bank, buy on consolidation"
19 Jul 2018,"Kotak Mahindra Bank Q1 net profit up 12.3% at Rs 1,025 cr, provisions up 130%"
18 Jul 2018,Q1 Preview: Kotak Mahindra Bank net profit expected to rise 28%
15 Jun 2018,"Kotak Mahindra Bank to raise up to Rs 5,000 cr via securities"
12 Jun 2018,Kotak Mahindra Bank is in no mood to sell its 15% stake in MCX: Uday Kotak
15 May 2018,"Corporates hit out against hate-mongering again, sack employee for tweeting calls for rape"
07 May 2018,Buy Kotak Mahindra Bank; target of Rs 1440: ICICI Direct
07 May 2018,Buy Kotak Mahindra Bank; target of Rs 1366: Edelweiss
07 May 2018,Buy Kotak Mahindra Bank; target of Rs 1402: KR Choksey
07 May 2018,Accumulate Kotak Mahindra Bank; target of Rs 1239: Prabhudas Lilladher
04 May 2018,Buy Kotak Mahindra Bank; target of Rs 1400: Motilal Oswal
02 May 2018,Invest in Kotak Mahindra Bank for long term: Akash Jain
02 May 2018,Kotak Mahindra Bank: Stock yet to fully value subsidiaries
30 Apr 2018,"Kotak Mahindra Bank Q4 net profit up 15% YoY at Rs 1,124 crore, misses estimates"
30 Apr 2018,Kotak Bank expected to post 20% rise in Q4 net profit
27 Apr 2018,Shikha Sharma puts up a brave front even as Axis Bank posts record loss
26 Apr 2018,"Kotak Mahindra Bank Q4 PAT seen up 21% YoY to Rs. 1,576.9 cr: Edelweiss"
26 Apr 2018,"Kotak Mahindra Bank Q4 PAT seen up 18% YoY to Rs. 1,152.4 cr: ICICI Direct"
26 Apr 2018,"Kotak Mahindra Bank Q4 PAT seen up 19% YoY to Rs. 1,159.3 cr: KR Choksey"
13 Apr 2018,Kotak Mahindra Bank sacks employee for hate post against Kathua rape victim
12 Apr 2018,Kotak Mahindra Bank says business not impacted by payments banks
12 Apr 2018,Govt needs to re-look at certain provisions of IBC: Uday Kotak
06 Apr 2018,"Buy Kotak Mahindra Bank, target Rs 1240: Hadrien Mendonca"
05 Apr 2018,"Kotak Mahindra Bank to consider March quarter results on April 30, 2018"
27 Mar 2018,"Buy Kotak Mahindra Bank, Axis Bank, PNB Housing, Escorts, SREI Infra, Bajaj Auto: Ashwani Gujral"
21 Mar 2018,"Uday Kotak calls on Modi govt to set up a committee on ownership, governance and risks"
13 Mar 2018,"Buy Kotak Bank, Shriram Transport, Tata Global, HDFC, TCS, L&T, ACC; sell CESC, Cummins: Sudarshan Sukhani"
07 Mar 2018,"Sell Canara Bank, Punjab National Bank; buy Ashok Leyland: Ashwani Gujral"
28 Feb 2018,See overall credit growth picking up in banking system: Kotak Mahindra
10 Feb 2018,Embarrassed about stressed assets in banking sector: Uday Kotak
05 Feb 2018,"Sell Kotak Mahindra Bank, Godrej Industries: Sandeep Wagle"
29 Jan 2018,"Buy Kotak Mahindra Bank, Tata Steel, Tech Mahindra: Rahul Shah"
22 Jan 2018,Accumulate Kotak Mahindra Bank; target of Rs 1172: KRChoksey
22 Jan 2018,Kotak Mahindra Bank gains 2% post Q3 results; brokerages term it a stable quarter
19 Jan 2018,Kotak Bank awaits pricing cues and resolutions under IBC to start buying stressed assets
19 Jan 2018,Kotak Mahindra Bank opposes 100% FDI in banking; says Indian savers must benefit
19 Jan 2018,"News highlights of the day: World wants to hear directly from horse's mouth, says PM Modi on Davos"
19 Jan 2018,"Kotak Mahindra Bank Q3: Standalone profit rises 20% to Rs 1,053 cr; asset quality improves"
18 Jan 2018,"Kotak Mahindra Bank Q3 profit may rise 21%, low cost deposit flow could be strong"
16 Jan 2018,News highlights of the day: AirAsia India says no plans to look at Air India stake
15 Jan 2018,"Merged entity to focus on branch expansion, cross selling products: Capital First"
15 Jan 2018,"Merged entity to focus on branch expansion, cross selling products: Capital First"
15 Jan 2018,"Buy Kotak Mahindra Bank, UltraTech Cement: Mitessh Thakkar"
15 Jan 2018,"Uday Kotak calls rising financial savings a 'bubble', says money going into few hundred stocks"
12 Jan 2018,Banking sector this week: Results season kicks off with treasury blues; Aadhaar turns more secure
20 Dec 2017,ATM breach: How to take precautions pre and post debit or credit card use
18 Dec 2017,"Kotak Mahindra Bank to buy mid-sized stressed assets from IBC but price has to evolve: Dipak Gupta, joint MD"
13 Dec 2017,Kotak Mahindra Bank can climb to around Rs 1060: Prakash Gaba
13 Dec 2017,"Buy Kotak Mahindra Bank, Sun TV: Sandeep Wagle"
08 Dec 2017,"Global investors are reaping benefits of HDFC growth story, not Indians: Uday Kotak"
04 Dec 2017,"Sell Kotak Mahindra Bank, Oriental Bank; buy Mindtree, IGL: Mitessh Thakkar"
15 Nov 2017,"Buy Kotak Mahindra Bank; sell Godrej Industries, Bajaj Finserv, BHEL: Mitessh Thakkar"
30 Oct 2017,Accumulate Kotak Mahindra Bank; target of Rs 1104: KR Choksey
