Time,Dates,Sources,Headlines
5.58 pm , 30 Dec 2011 ,   Source: CNBC-TV18,"Infosys, TCS, Wipro top IT picks for 2012: Sukhani"
4.54 pm , 30 Dec 2011 ,   Source: CNBC-TV18,"TCS, Infosys top picks in frontliners: Salil Sharma"
11.17 am , 29 Dec 2011 ,   Source: CNBC-TV18,"Pradhan bullish on TCS, Infosys"
10.43 am , 27 Dec 2011 ,   Source: CNBC-TV18,"Infosys has resistance around Rs 2840, says Anu Jain"
8.45 am , 27 Dec 2011 ,   Source: CNBC-TV18,Super Six stocks you can bet on Dec 27
5.41 pm , 26 Dec 2011 ,   Source: CNBC-TV18,"Go long on Infosys, SBI: Sudarshan Sukhani"
5.38 pm , 26 Dec 2011 ,   Source: CNBC-TV18,"Prefer Infosys over GVK Power, says Sukhani"
2.14 pm , 26 Dec 2011 ,   Source: CNBC-TV18,"Bharti Airtel may test Rs 355- 360, says Sukhani"
9.33 am , 26 Dec 2011 ,   Source: CNBC-TV18,"Buying opportunity seen in SBI, says Sukhani"
2.12 pm , 23 Dec 2011 ,   Source: CNBC-TV18,"TCS, Infosys top picks in IT space, says Devang Mehta"
2.31 pm , 22 Dec 2011 ,   Source: CNBC-TV18,"Crompton Greaves may slip further, says Sukhani"
12.18 pm , 22 Dec 2011 ,   Source: Moneycontrol.com,Buy Infosys; target Rs 3090: Prabhudas Lilladher
9.33 am , 22 Dec 2011 ,   Source: CNBC-TV18,"Buying opportunity seen in HUL, says Sukhani"
5.46 pm , 20 Dec 2011 ,   Source: Moneycontrol.com,Infosys BPO to buy Australia's Portland Group for A$ 37m
11.46 am , 17 Dec 2011 ,   Source: PTI,No need to worry over fall in rupee: Narayana Murthy
6.10 pm , 16 Dec 2011 ,   Source: Moneycontrol.com,16 stocks you should buy in falling market: PINC
8.57 am , 14 Dec 2011 ,   Source: CNBC-TV18,"Buy Infosys, says Sukhani"
3.17 pm , 12 Dec 2011 ,   Source: CNBC-TV18,Hold TCS for long term: LKP
4.54 pm , 08 Dec 2011 ,   Source: CNBC-TV18,"Buy Wipro, Infosys on dips, says Sukhani"
3.54 pm , 08 Dec 2011 ,   Source: CNBC-TV18,ACC may rally upto Rs 1280- 1290: Mohindar
9.16 am , 08 Dec 2011 ,   Source: CNBC-TV18,"Buy Infosys, says Sudarshan Sukhani"
11.53 am , 07 Dec 2011 ,   Source: Moneycontrol.com,"Sell Infosys December future; target Rs 2,668: IIFL"
11.10 am , 05 Dec 2011 ,   Source: Reuters,Services sector rebounds in November
12.38 pm , 03 Dec 2011 ,   Source: CNBC-TV18,"Character + Chance = Success, says Narayana Murthy"
4.40 pm , 02 Dec 2011 ,   Source: CNBC-TV18,"Add Infosys, TCS in your portfolio: Mohindar"
