Time,Dates,Sources,Headlines
9.31 pm , 15 May 2015 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Outcome of board meeting
9.03 am , 06 May 2015 ,   Source: PTI,Torrent Pharma to acquire Zyg Pharma for an undisclosed sum
11.43 am , 16 Apr 2015 ,   Source: CNBC-TV18,See 10-15% upside in midcap pharma space: Vineet Bhatnagar
11.18 am , 15 Apr 2015 ,   Source: CNBC-TV18,"Buy Glenmark, Colgate Palmolive: Sudarshan Sukhani"
8.47 am , 06 Apr 2015 ,   Source: CNBC-TV18,Here are top 10 stocks to focus on April 6
1.13 pm , 25 Mar 2015 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 1500: Sharekhan
10.38 pm , 20 Mar 2015 ,   Source: PTI,FTC passes final order in USD 4 billion Sun-Ranbaxy deal
6.34 pm , 18 Mar 2015 ,   Source: CNBC-TV18,"Hold Cadila, Torrent Pharma, Infosys, TCS: Rajesh Kothari"
8.00 am , 18 Mar 2015 ,   Source: Moneycontrol.com,Fancy a large cap 'gladiator' stock in your kitty?
2.25 pm , 11 Mar 2015 ,   Source: CNBC-TV18,"Prefer Dr Reddy's, Lupin, Cipla, Ipca Labs: Anmol Ganjoo"
6.27 pm , 05 Feb 2015 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 1385: Kotak Securities
2.23 pm , 31 Jan 2015 ,   Source: CNBC-TV18,Sun-Ranbaxy's $4bn merger deal gets USFTC's conditional nod
9.56 am , 30 Jan 2015 ,   Source: Moneycontrol.com,"Torrent Pharma consolidated Dec '14 sales at Rs 1,168.00 crore"
9.36 pm , 28 Jan 2015 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals recommends interim dividend
1.17 pm , 17 Jan 2015 ,   Source: Moneycontrol.com,Torrent Pharma fixes record date for interim dividend
12.12 pm , 12 Jan 2015 ,   Source: CNBC-TV18,Eyeing inorganic opportunities to increase growth: Torrent
9.20 pm , 30 Dec 2014 ,   Source: Moneycontrol.com,"Torrent Pharmaceuticals Q3 results on Jan 28, 2015"
8.45 am , 24 Dec 2014 ,   Source: CNBC-TV18,Here are top 10 stocks to keep an eye on December 24
12.16 pm , 10 Nov 2014 ,   Source: CNBC-TV18,"Bullish on pharma; buy Lupin, Dr Reddys, Ipca: JM Financial"
3.59 pm , 06 Nov 2014 ,   Source: PTI,Torrent Pharma Q2 net up 75% at Rs 198 crore
10.25 am , 23 Sep 2014 ,   Source: CNBC-TV18,"Prefer Torrent Pharma, Bharat Forge: Kunj Bansal"
11.34 am , 11 Aug 2014 ,   Source: CNBC-TV18,"Prefer Torrent Pharmaceuticals, says Kunj Bansal"
12.13 pm , 07 Aug 2014 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target of Rs 748: ICICIdirect
2.50 pm , 31 Jul 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Change in Directorate
11.25 am , 31 Jul 2014 ,   Source: CNBC-TV18,"Dr Reddy's, Lupin, Glenmark top pharma bets: Nomura"
11.03 am , 31 Jul 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Updates on outcome of AGM
2.31 pm , 30 Jul 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Outcome of AGM
10.42 am , 23 Jul 2014 ,   Source: Moneycontrol.com,How new price control list impacts Indian pharma cos
12.12 pm , 14 Jul 2014 ,   Source: CNBC-TV18,See prices of cardiac drugs reduce by 15-50%: Ex-MD Pfizer
1.14 pm , 04 Jul 2014 ,   Source: Moneycontrol.com,"Torrent Pharmaceuticals' AGM on July 30, 2014"
8.31 am , 30 Jun 2014 ,   Source: Moneycontrol.com,Torrent Pharma completes acquisition of domestic branded formulations biz of Elder Pharma
10.28 am , 16 May 2014 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 720: Firstcall Research
2.34 pm , 14 May 2014 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 748: ICICIdirect
5.30 pm , 13 May 2014 ,   Source: Moneycontrol.com,"Buy Torrent Pharma, Kajaria Ceramics, NIIT Tech: Emkay"
1.53 pm , 13 May 2014 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 761: Sharekhan
6.50 pm , 12 May 2014 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target of Rs 675: Karvy
