Time,Dates,Sources,Headlines
3.01 pm , 13 Dec 2012 ,   Source: Moneycontrol.com,Infosys ranks No. 1 for its corporate governance
8.51 am , 13 Dec 2012 ,   Source: Moneycontrol.com,Infosys ADS starts trading on NYSE
9.21 pm , 12 Dec 2012 ,   Source: CNBC-TV18,"Europe strategic for Infy, London & Paris listing next: CEO"
11.44 am , 12 Dec 2012 ,   Source: CNBC-TV18,Buy Infosys 2300 Put: VK Sharma
9.17 am , 12 Dec 2012 ,   Source: CNBC-TV18,"Short Infosys, says Sudarshan Sukhani"
9.21 pm , 07 Dec 2012 ,   Source: CNBC-TV18,Infosys may lower FY13 dollar guidance
1.22 pm , 07 Dec 2012 ,   Source: Reuters,Infosys FY13 revenue outlook under threat: UBS
12.18 pm , 07 Dec 2012 ,   Source: Moneycontrol.com,Infosys BPO wins 2012 Optimas Award for Managing Change
6.21 pm , 06 Dec 2012 ,   Source: PTI,Infosys plans to roll out project for India Post in 2 yrs
3.58 pm , 06 Dec 2012 ,   Source: CNBC-TV18,Stay away from Infosys: Sukhani
12.16 pm , 06 Dec 2012 ,   Source: Reuters,IT shares shares extend fall on outlook worries
12.08 pm , 06 Dec 2012 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 2575: Emkay
11.21 am , 06 Dec 2012 ,   Source: CNBC-TV18,Infosys can re-test Rs 2275: Hemant Thukral
5.15 pm , 05 Dec 2012 ,   Source: PTI,Facebook to replace Infosys on Nasdaq 100 next Wednesday
1.27 pm , 05 Dec 2012 ,   Source: CNBC-TV18,"Infy downgrade on no mgmt initiative, dull economy: Cowen"
10.32 am , 05 Dec 2012 ,   Source: Moneycontrol.com,Infy falls 2% after losing pride of place in Nasdaq 100
6.56 pm , 30 Nov 2012 ,   Source: PTI,Infosys plans to list ADS on NYSE Euronext
6.50 pm , 30 Nov 2012 ,   Source: Moneycontrol.com,Infosys plans to list its ADS on NYSE Euronext
4.56 pm , 29 Nov 2012 ,   Source: CNBC-TV18,"Diwan upbeat on RIL, Infosys, Natco Pharma"
4.21 pm , 29 Nov 2012 ,   Source: Moneycontrol.com,Infosys named a leader in IDC MarketScape
8.56 am , 27 Nov 2012 ,   Source: CNBC-TV18,Check out stocks for short term gain
12.10 pm , 24 Nov 2012 ,   Source: CNBC-TV18,No acquisition plans in China; positive on Europe ops: TCS
5.09 pm , 22 Nov 2012 ,   Source: PTI,IT sector likely to grow at 11% this fiscal: Infosys
12.37 pm , 21 Nov 2012 ,   Source: CNBC-TV18,See IT sector growth closer to 11% in FY13: NASSCOM
9.04 am , 21 Nov 2012 ,   Source: CNBC-TV18,6 intraday picks to make smart gains
3.31 pm , 19 Nov 2012 ,   Source: Moneycontrol.com,Infosys launches 'India in a Box' for Japanese companies
11.09 am , 19 Nov 2012 ,   Source: CNBC-TV18,"Buy Infosys on dips, says Hemant Thukral"
9.32 am , 19 Nov 2012 ,   Source: CNBC-TV18,6 trading stocks for short term gain
2.45 pm , 16 Nov 2012 ,   Source: CNBC-TV18,Infosys may rally to Rs 2420-2450: Kulkarni
8.30 am , 15 Nov 2012 ,   Source: Moneycontrol.com,"Infosys, Microsoft, Gen-i partner to simplify Australian Cloud deployments"
5.34 pm , 12 Nov 2012 ,   Source: Moneycontrol.com,Buy or sell: Emkay's trading tips for Mahurat trading
9.30 am , 09 Nov 2012 ,   Source: Moneycontrol.com,Infosys signs $ 50 mn contract with MCA; stock trades lower
7.38 pm , 08 Nov 2012 ,   Source: PTI,Infosys bags about USD 50m deal from MCA
7.23 pm , 08 Nov 2012 ,   Source: Moneycontrol.com,Infosys signs multi-year agreement with Ministry of Corporate Affairs
4.39 pm , 08 Nov 2012 ,   Source: CNBC-TV18,"Buy Tata Motors, Infosys, TCS: Sukhani"
10.16 pm , 07 Nov 2012 ,   Source: CNBC-TV18,"Indian IT cos cheer Obama's victory, but visa still a worry"
10.01 pm , 07 Nov 2012 ,   Source: PTI,Cognizant maintains lead over Infosys; revenue at USD 1.9bn
10.09 am , 07 Nov 2012 ,   Source: Moneycontrol.com,Lloyd's Register Group selects Infosys as Global Information System Transformation Partner
8.00 pm , 06 Nov 2012 ,   Source: PTI,RBS acquires 29 lakh shares in 8 cos for Rs 352 cr
1.02 pm , 06 Nov 2012 ,   Source: PTI,No donation given to Kejriwal for political work: Murthy
1.43 pm , 05 Nov 2012 ,   Source: CNBC-TV18,"TCS downgraded to 'sell'; bet on Infy, HCL: CLSA"
8.32 am , 02 Nov 2012 ,   Source: Reuters,"Wipro Q2 profit rises 24%, beats estimates"
9.52 am , 01 Nov 2012 ,   Source: CNBC-TV18,"Atul Badkar bullish on Bharti Airtel, Infosys"
3.02 pm , 24 Oct 2012 ,   Source: PTI,"'Airtel, Infosys, TCS among most sought after employers'"
3.32 pm , 22 Oct 2012 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 2686: Firstcall Research
11.12 am , 22 Oct 2012 ,   Source: Moneycontrol.com,Analysts raise TCS target price after strong Q2
10.34 am , 22 Oct 2012 ,   Source: CNBC-TV18,Antique's view on IT sector post Q2 earnings
6.02 pm , 19 Oct 2012 ,   Source: Moneycontrol.com,TCS tops expectations with 44% YoY rise in Q2 net profit
12.49 pm , 19 Oct 2012 ,   Source: CNBC-TV18,"TCS, Wipro, Mindtree: Who will steal the show in Q2?"
6.55 pm , 17 Oct 2012 ,   Source: Moneycontrol.com,Infosys wins 2012 Microsoft platform modernization award
5.17 pm , 17 Oct 2012 ,   Source: PTI,IT space needs new products to meet $300bn target: Infosys
3.30 pm , 16 Oct 2012 ,   Source: Moneycontrol.com,Hold Infosys; target of Rs 2565: R K Global
12.56 pm , 16 Oct 2012 ,   Source: Moneycontrol.com,Reduce Infosys; target of Rs 2352: KRChoksey
11.31 am , 16 Oct 2012 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 2800: Motilal Oswal
7.11 pm , 15 Oct 2012 ,   Source: CNBC-TV18,"Infosys an underperformer, may slip to Rs 2200: Baliga"
2.02 pm , 15 Oct 2012 ,   Source: CNBC-TV18,"After dismal Infy Q2 results, will other IT cos click? "
12.05 pm , 15 Oct 2012 ,   Source: Moneycontrol.com,Accumulate Infosys; target of Rs 2573: Angel Broking
12.02 pm , 15 Oct 2012 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 2900: PLilladher
9.49 am , 15 Oct 2012 ,   Source: CNBC-TV18,"Buy Infosys on dips, says Sudarshan Sukhani"
11.01 am , 13 Oct 2012 ,   Source: Moneycontrol.com,Hold Infosys; target of Rs 2700: SPA Research
11.00 am , 13 Oct 2012 ,   Source: Moneycontrol.com,Reduce Infosys; target of Rs 2357: Asit C. Mehta
10.50 am , 13 Oct 2012 ,   Source: Moneycontrol.com,Accumulate Infosys; target of Rs 2710: Dolat Capital
10.45 am , 13 Oct 2012 ,   Source: Moneycontrol.com,Accumulate Infosys; target of Rs 2575: Emkay
7.12 pm , 12 Oct 2012 ,   Source: CNBC-TV18,Buy Infosys at current levels: Dipan Mehta
4.58 pm , 12 Oct 2012 ,   Source: Moneycontrol.com,How do analysts view Infosys Q2 results?
3.28 pm , 12 Oct 2012 ,   Source: PTI,Infosys to raise salaries of Indian employees by 6%
3.13 pm , 12 Oct 2012 ,   Source: Moneycontrol.com,Infosys may slip to Rs 2220-2240: Murlidharan
1.55 pm , 12 Oct 2012 ,   Source: Moneycontrol.com,Is Infosys grooming CFO Balakrishnan for the top job?
12.14 pm , 12 Oct 2012 ,   Source: Moneycontrol.com,"Infosys retains margin guidance, sees challenging times  "
11.33 am , 12 Oct 2012 ,   Source: CNBC-TV18,Need stability on management side of Infy biz: Moshe Katri
11.12 am , 12 Oct 2012 ,   Source: Reuters,Infosys shares recoups losses after clarification
11.08 am , 12 Oct 2012 ,   Source: CNBC-TV18,"Infy Q2 disappoints, stock to settle at Rs 2200-2300: IIFL"
10.52 am , 12 Oct 2012 ,   Source: Moneycontrol.com,Infosys board declares interim dividend of Rs 15
10.52 am , 12 Oct 2012 ,   Source: Moneycontrol.com,Infosys cons Q2 net profit at Rs 2369 crore versus Rs 1906 crore
10.09 am , 12 Oct 2012 ,   Source: Moneycontrol.com,"Infosys Q2: Management views on pricing, deals, clients, guidance"
10.08 am , 12 Oct 2012 ,   Source: CNBC-TV18,"Infosys Q2: Stock may slip to last quarter lows, cautions Nilesh Shah"
10.01 am , 12 Oct 2012 ,   Source: CNBC-TV18,"Infosys Q2: Looks like biz is under serious pressure, says Kotak Instl"
9.46 am , 12 Oct 2012 ,   Source: Moneycontrol.com,"TCS, HCL Tech, Wipro open lower post Infosys results"
9.26 am , 12 Oct 2012 ,   Source: Moneycontrol.com,"Bala to head Infosys BPO arm, Finacle; Bansal to be new CFO"
9.17 am , 12 Oct 2012 ,   Source: Moneycontrol.com,"Infosys Q2 results inline, Bala to head BPO arm; stk slips"
9.16 am , 12 Oct 2012 ,   Source: Reuters,Expert views on Infosys Q2 results
8.43 am , 12 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 net up 24% YoY; shrs sink on poor guidance
3.12 am , 12 Oct 2012 ,   Source: Reuters,Infy net to up 25% as global clients look to squeeze costs
7.08 pm , 11 Oct 2012 ,   Source: CNBC-TV18,"Infosys may rally to Rs 2700, says Kulkarni"
2.28 pm , 11 Oct 2012 ,   Source: Moneycontrol.com,Don't take fresh call in Infosys: Rikesh Parikh
1.27 pm , 11 Oct 2012 ,   Source: Moneycontrol.com,Exit Infosys at current level: Merani
12.28 pm , 11 Oct 2012 ,   Source: CNBC-TV18,Infosys Q2 EBIT seen up 6% at Rs 2854 cr
11.59 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Will Infosys cut FY13 EPS guidance?
11.40 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 PAT seen up 4% at Rs 2386cr: Emkay
11.35 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 PAT seen up 1% at Rs 2314cr: Angel Broking
11.27 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 PAT seen up 4.9% at Rs 2401cr: MOSt
11.24 am , 11 Oct 2012 ,   Source: CNBC-TV18,Infy may revise EPS guidance to Rs 164 for FY13: Kotak
11.17 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 PAT seen up 4% at Rs 2377 cr: KRChoksey
11.07 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 PAT seen dn 0.4% at Rs 2279cr: ICICI Direct.com
