Time,Dates,Sources,Headlines
6.48 pm , 15 Apr 2010 ,   Source: Moneycontrol.com,IndusInd Bank Q4 PAT seen up 90.22% to Rs 96.1 cr
3.13 pm , 01 Apr 2010 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 176: Arihant Capital
4.31 pm , 30 Mar 2010 ,   Source: CNBC-TV18,IndusInd Bank plans to open 120 branches in FY11
5.08 pm , 29 Mar 2010 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 202: Networth
1.20 pm , 29 Mar 2010 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Anu Jain"
2.09 pm , 11 Mar 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 170: Gujral
11.12 am , 06 Mar 2010 ,   Source: Moneycontrol.com,Indusind Bank can touch Rs 180: Gujral
10.15 am , 04 Mar 2010 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 240-250: Gujral
8.50 am , 03 Feb 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 164: Thacker
9.01 am , 20 Jan 2010 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 160-165: Thacker
3.10 pm , 19 Jan 2010 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target Rs 175: Anand Rathi
3.37 pm , 15 Jan 2010 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Manas Jaiswal"
2.34 pm , 15 Jan 2010 ,   Source: Reuters,IndusInd Bank expects no dent in profit in Jan-Sept - MD
12.53 pm , 15 Jan 2010 ,   Source: Moneycontrol.com,IndusInd Bank Q3 net profit up at Rs 88.04 cr
11.49 am , 16 Dec 2009 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 160: IndiaInfoline
5.29 pm , 11 Dec 2009 ,   Source: Moneycontrol.com,IndusInd Bank trades in range of Rs 120-145: Thacker
10.23 am , 09 Dec 2009 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 155-160: Thacker
11.49 am , 04 Dec 2009 ,   Source: CNBC-TV18,Buy IndusInd Bank above Rs 140: Sukhani
9.53 am , 03 Dec 2009 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 145-150: Mitesh Thacker
1.50 pm , 14 Oct 2009 ,   Source: CNBC-TV18,IndusInd Bank Q2 net profit up 130.9% at Rs 77.8 cr
10.13 am , 14 Oct 2009 ,   Source: CNBC-TV18,Indusind Bank Q2 net profit seen up 58.64% to Rs 53.4 cr
4.21 pm , 11 Sep 2009 ,   Source: Moneycontrol.com,Buy IndusInd Bank with a target of Rs 112-115: M Thacker
9.29 pm , 13 Aug 2009 ,   Source: CNBC-TV18,See more appetite for bank's QIP from investors: IndusInd
9.02 pm , 11 Aug 2009 ,   Source: CNBC-TV18,QIP bonanza: IndusInd raises $100m via 13% stake sale
10.52 am , 21 Jul 2009 ,   Source: CNBC-TV18,Buy IndusInd Bank on dips: Sukhani
3.17 pm , 20 Jul 2009 ,   Source: CNBC-TV18,Keep Rs 75 stoploss in IndusInd Bank: Mohoni
12.57 pm , 09 Jul 2009 ,   Source: CNBC-TV18,IndusInd Bank has resistance at Rs 92-95: Bose
10.07 am , 09 Jul 2009 ,   Source: CNBC-TV18,IndusInd Bank has support at Rs 72: Gujral
5.02 pm , 08 Jul 2009 ,   Source: CNBC-TV18,Don't buy IndusInd Bank: Sukhani
2.29 pm , 08 Jul 2009 ,   Source: CNBC-TV18,NPAs improved drastically in FY09; now at 1%: IndusInd Bank
1.57 pm , 08 Jul 2009 ,   Source: CNBC-TV18,IndusInd Bank Q1 net profit up at Rs 86.5 cr
9.46 am , 24 Jun 2009 ,   Source: CNBC-TV18,Buy IndusInd Bank at Rs 82-83: M Thacker
8.48 am , 22 Jun 2009 ,   Source: Business Line,Banks� credit to realty sector expands in 2008-09
11.42 am , 19 Jun 2009 ,   Source: CNBC-TV18,Will raise $75-100m via QIPs: IndusInd Bank
5.17 pm , 16 Jun 2009 ,   Source: CNBC-TV18,IndusInd Bank can go upto Rs 85: M Thacker
9.52 am , 11 Jun 2009 ,   Source: CNBC-TV18,IndusInd Bank has support at Rs 67: Gujral
2.25 pm , 20 May 2009 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 90-100: R Shah
1.59 pm , 06 May 2009 ,   Source: CNBC-TV18,Limited upside in IndusInd Bank: P Sekhar
11.40 am , 06 May 2009 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 62: Mathew
3.09 pm , 05 May 2009 ,   Source: CNBC-TV18,No plans to raise capital in next six months: IndusInd Bank
2.08 pm , 05 May 2009 ,   Source: CNBC-TV18,IndusInd Bank Q4 net profit up 249% at Rs 50.5 cr
10.25 pm , 09 Mar 2009 ,   Source: CNBC-TV18,IndusInd Bank may buy RBS' Indian operations
4.27 pm , 19 Jan 2009,@,IndusInd Bank-CRISIL sign MoU on bank loan ratings
7.02 pm , 15 Jan 2009,@,"IndusInd Bank Q3 Net Profit at Rs 45.06cr, up by 80%"
4.17 pm , 15 Jan 2009 ,   Source: CNBC-TV18,See full-year advances grow at 25%: IndusInd Bank
1.53 pm , 15 Jan 2009 ,   Source: CNBC-TV18,IndusInd Bank Q3 net profit at Rs 45.06 cr
2.43 pm , 01 Jan 2009,@,ICRA reaffirms the highest rating A1+ for IndusInd Bank
