Time,Dates,Sources,Headlines
2.41 pm , 10 Oct 2012 ,   Source: Moneycontrol.com,Book profit in IndusInd Bank at current level: Sukhani
2.21 pm , 10 Oct 2012 ,   Source: Moneycontrol.com,IndusInd Bank Q2 net profit grows 30% to Rs 250 cr
8.05 am , 10 Oct 2012 ,   Source: CNBC-TV18,IndusInd Bank Q2 PAT seen up 25% to Rs 241 cr
8.00 am , 10 Oct 2012 ,   Source: CNBC-TV18,IndusInd Bank Q2 NII likely to go up 23%
2.09 pm , 09 Oct 2012 ,   Source: Moneycontrol.com,PSU banks asset quality to remain under pressure in Q2
12.58 pm , 09 Oct 2012 ,   Source: Moneycontrol.com,Banking sector results preview for Q2FY13: Angel Broking
10.55 pm , 08 Oct 2012 ,   Source: CNBC-TV18,Reforms must not stop; economy can bounce back:Chadha
8.18 am , 27 Sep 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 434: Dolat Capital
12.46 pm , 25 Sep 2012 ,   Source: Moneycontrol.com,"Buy Financial Tech, Havells, IndusInd Bank: Parag Doctor"
8.05 am , 25 Sep 2012 ,   Source: CNBC-TV18,"Bull's eye: Buy Tilaknagar Ind, Havells, short Cairn, HDFC"
3.56 pm , 21 Sep 2012 ,   Source: Moneycontrol.com,"IndusInd Bank allots 1,32,396 equity shares"
11.13 am , 17 Sep 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 345: Firstcall Research
5.02 pm , 11 Sep 2012 ,   Source: CNBC-TV18,Tulsian negative on Sesa Goa and Sterlite
5.02 pm , 29 Aug 2012 ,   Source: Reuters,No big impact from QE3 on Indian stocks: CLSA
9.05 am , 29 Aug 2012 ,   Source: CNBC-TV18,Check out: Super Six stocks for August 29
8.57 am , 29 Aug 2012 ,   Source: CNBC-TV18,"Sun Pharma can test Rs 700, says Sudarshan Sukhani"
1.02 pm , 21 Aug 2012 ,   Source: Moneycontrol.com,"IndusInd Bank allots 63,354 shares under company's ESOS"
12.11 pm , 06 Aug 2012 ,   Source: Moneycontrol.com,"IndusInd Bank allots 211,339 shares under ESOS "
9.55 am , 30 Jul 2012 ,   Source: CNBC-TV18,Buy IndusInd Bank at Rs 320: Anu Jain
10.42 am , 16 Jul 2012 ,   Source: CNBC-TV18,"Prefer ICICI Bank, Axis Bank, says Ajay Bodke"
5.11 pm , 14 Jul 2012 ,   Source: Moneycontrol.com,Banking & financial results preview for Q1FY13: P Lilladher
3.35 pm , 13 Jul 2012 ,   Source: CNBC-TV18,Banks to post 15-20% earnings growth in Q1: Nirmal Bang 
1.02 pm , 13 Jul 2012 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 371: SKP Securities
11.58 am , 12 Jul 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 415: Motilal Oswal
2.55 pm , 11 Jul 2012 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; tgt of Rs 363: Aditya Birla Money
5.50 pm , 10 Jul 2012 ,   Source: CNBC-TV18,"Buy IndusInd Bank on decline, says Sukhani"
2.14 pm , 10 Jul 2012 ,   Source: Moneycontrol.com,IndusInd Bank Q1 net profit up 31% at Rs 236 cr
10.36 am , 10 Jul 2012 ,   Source: CNBC-TV18,IndusInd Bank Q1 PAT seen up 27% to Rs 228 cr
6.36 pm , 09 Jul 2012 ,   Source: Moneycontrol.com,Banks margins to come under pressure in 1HFY2013: Angel
7.11 pm , 06 Jul 2012 ,   Source: PTI,IRDA imposes penalty of Rs 15L on IndusInd Bank
9.46 am , 06 Jul 2012 ,   Source: CNBC-TV18,"Buy ICICI Bank, Axis Bank, says PN Vijay"
3.20 pm , 04 Jul 2012 ,   Source: Moneycontrol.com,"IndusInd Bank allots 60,699 equity shares of Rs 10"
7.14 pm , 29 Jun 2012 ,   Source: Moneycontrol.com,HDFC Bank cuts base rate and BPLR by 20 bps
9.35 am , 25 Jun 2012 ,   Source: CNBC-TV18,IndusInd Bank may test Rs 400: Sukhani
4.53 pm , 21 Jun 2012 ,   Source: Moneycontrol.com,"Boost saving deposits, grow retail loans 30%: Govt to banks"
12.29 pm , 21 Jun 2012 ,   Source: Moneycontrol.com,IndusInd Bank Q1 results on July 10
8.45 am , 04 Jun 2012 ,   Source: CNBC-TV18,Tata Motors (DVR) has target of RS 128-125: Sukhani
1.16 pm , 26 May 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target Rs 352.5: Aditya Birla Money
11.51 am , 15 May 2012 ,   Source: Moneycontrol.com,IndusInd Bank may lose Rs 10-15 from current level:Sukhani
12.00 pm , 26 Apr 2012 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank: Arihant capital markets
11.22 am , 23 Apr 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 419: Motilal Oswal
11.18 am , 23 Apr 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 397: KRChoksey
2.48 pm , 20 Apr 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 400: PLilladher
2.13 pm , 20 Apr 2012 ,   Source: Moneycontrol.com,"IndusInd Bank Mar '12 profit at Rs 1,481.02 crore"
5.37 pm , 19 Apr 2012 ,   Source: Moneycontrol.com,IndusInd Bank's Q4 net up 30% to Rs 223 cr
3.00 pm , 19 Apr 2012 ,   Source: CNBC-TV18,Aim to have 650-700 branches by March 2014: IndusInd Bank
10.01 am , 19 Apr 2012 ,   Source: Moneycontrol.com,IndusInd Bank Q4 PAT seen up 25% at Rs 214.7 cr
9.55 am , 19 Apr 2012 ,   Source: CNBC-TV18,IndusInd Bank Q4 NII seen up 17% at Rs 454.5 cr
2.15 pm , 12 Apr 2012 ,   Source: CNBC-TV18,Book profits in IndusInd Bank around Rs 350: Harchekar
12.00 pm , 11 Apr 2012 ,   Source: CNBC-TV18,IndusInd Bank can touch Rs 342: IIFL
4.30 pm , 05 Apr 2012 ,   Source: Moneycontrol.com,Banking sector results preview for Q4FY12: Angel Broking
2.33 pm , 05 Apr 2012 ,   Source: Moneycontrol.com,Banking sector results preview for Q4FY12: PLilladher
12.38 pm , 04 Apr 2012 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 387: FairWealth Securities
1.32 pm , 03 Apr 2012 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 340-345: Panda
5.43 pm , 28 Feb 2012 ,   Source: CNBC-TV18,"Stay away from Sesa Goa, says Nitin Raheja"
8.52 am , 03 Feb 2012 ,   Source: CNBC-TV18,"Buy IndusInd Bank, HUL, says Sukhani"
6.01 pm , 25 Jan 2012 ,   Source: CNBC-TV18,"Avoid PSU Banks, says Prakash Diwan"
5.46 pm , 20 Jan 2012 ,   Source: Moneycontrol.com,CEO Spotlight: Engineer-turned-banker Sobti's journey
5.59 pm , 13 Jan 2012 ,   Source: CNBC-TV18,"Add long positions in ING Vysya Bank, says Sukhani"
6.12 pm , 12 Jan 2012 ,   Source: CNBC-TV18,PN Vijay bullish on IndusInd Bank
12.55 pm , 12 Jan 2012 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank: Arihant capital markets
10.20 am , 12 Jan 2012 ,   Source: CNBC-TV18,No exposure to stressed out aviation space: IndusInd Bank
5.25 pm , 11 Jan 2012 ,   Source: Moneycontrol.com,Banking Stocks results preview for Q3FY12: KRChoksey
3.09 pm , 11 Jan 2012 ,   Source: Moneycontrol.com,Financial sector results preview for Q3FY12: MOST
1.10 pm , 11 Jan 2012 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 288: Unicon Investment
11.13 am , 11 Jan 2012 ,   Source: CNBC-TV18,Buy IndusInd Bank for long term: PN Vijay
11.09 am , 11 Jan 2012 ,   Source: Moneycontrol.com,Buy Induslnd Bank; target Rs 309: KRChoksey
10.50 am , 11 Jan 2012 ,   Source: Moneycontrol.com,Buy IndusInd bank; target Rs 315: Prabhudas Lilladher
6.42 pm , 10 Jan 2012 ,   Source: CNBC-TV18,Buy IndusInd Bank at current levels: Sukhani
4.27 pm , 10 Jan 2012 ,   Source: CNBC-TV18,Bandyopadhyay`s view on IndusInd Bank
2.31 pm , 10 Jan 2012 ,   Source: Moneycontrol.com,IndusInd Bank Q3 net up 34% at Rs 206 cr
11.05 am , 10 Jan 2012 ,   Source: CNBC-TV18,"Bull's Eye: Buy HCL Tech, BHEL, Titan; Short REC"
4.48 pm , 09 Jan 2012 ,   Source: CNBC-TV18,Prakash Diwan view on IndusInd Bank
4.00 pm , 09 Jan 2012 ,   Source: CNBC-TV18,Q3 results: What to expect from banking sector?
12.59 pm , 07 Jan 2012 ,   Source: Moneycontrol.com,Banks Q3: No ugly surprise but margins under pressure
6.29 pm , 30 Dec 2011 ,   Source: CNBC-TV18,"HDFC Bank, IndusInd Bank best bets, says Irani"
1.27 pm , 28 Dec 2011 ,   Source: Moneycontrol.com,KR Choksey showcases equity portfolio for 2012
6.31 pm , 27 Dec 2011 ,   Source: Moneycontrol.com,Expect to grow at 25% CAGR: IndusInd Bank
6.23 pm , 27 Dec 2011 ,   Source: Moneycontrol.com,"IndusInd Bank plans to open 650 branches by March, 2014"
6.01 pm , 27 Dec 2011 ,   Source: Moneycontrol.com,All you want to know about IndusInd Bank
11.37 am , 27 Dec 2011 ,   Source: Moneycontrol.com,Inside Companies: What drives IndusInd Bank to growth?
11.24 am , 24 Dec 2011 ,   Source: Moneycontrol.com,2012: Year of savings rate war?
6.37 pm , 22 Dec 2011 ,   Source: CNBC-TV18,"Axis Bank, IndusInd Bank may see some upmove: Choksey"
11.19 am , 22 Dec 2011 ,   Source: CNBC-TV18,"Bull's Eye: Short Jet Airways, ABG Ship; buy Titan, NMDC"
8.25 pm , 21 Dec 2011 ,   Source: Moneycontrol.com,RBI allows banks to use excess SLR for MSF window
10.32 am , 21 Dec 2011 ,   Source: CNBC-TV18,"IndusInd Bank looks weak, says Sukhani"
6.36 pm , 13 Dec 2011 ,   Source: CNBC-TV18,"ICICI Bank, Axis Bank may see more downside: Sukhani"
2.11 pm , 08 Dec 2011 ,   Source: CNBC-TV18,Sell Suzlon Energy: Sukhani
11.14 am , 08 Dec 2011 ,   Source: CNBC-TV18,IndusInd Bank may come down to Rs 230: Jai Bala
3.28 pm , 07 Dec 2011 ,   Source: CNBC-TV18,"Yes Bank, Axis Bank, IndusInd Bank top picks: Dipan Mehta"
1.46 pm , 02 Dec 2011 ,   Source: CNBC-TV18,Choksey's view on Reliance Industries
4.41 pm , 29 Nov 2011 ,   Source: Moneycontrol.com,IndusInd tightens loan parameters to improve asset quality
3.37 pm , 17 Nov 2011 ,   Source: CNBC-TV18,Hope to sustain 25-30% loan growth ahead: IndusInd Bank
1.29 pm , 15 Nov 2011 ,   Source: CNBC-TV18,ICICI Bank has target of Rs 740-750: Sukhani
11.37 am , 08 Nov 2011 ,   Source: CNBC-TV18,"Suresh Mahadevan positive on Muthoot Fin, Manappuram Fin"
11.15 am , 04 Nov 2011 ,   Source: CNBC-TV18,DCB looks attractive: Mehraboon Irani
2.20 pm , 03 Nov 2011 ,   Source: Moneycontrol.com,Federal Bank not to jump into savings rate hike war
5.10 pm , 01 Nov 2011 ,   Source: PTI,"IndusInd Bank appoints Arun Khurana as Head, Global Mkts"
5.54 pm , 31 Oct 2011 ,   Source: CNBC-TV18,Prefer banking stocks over IT: Paul
5.30 pm , 24 Oct 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 286: IIFL
2.36 pm , 24 Oct 2011 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Thunuguntla"
11.39 am , 24 Oct 2011 ,   Source: CNBC-TV18,Bull's Eye: Top chart picks for today
6.09 pm , 20 Oct 2011 ,   Source: CNBC-TV18,"Yes Bank, IndusInd Bank good investment bets: Prime Broking"
1.22 pm , 19 Oct 2011 ,   Source: CNBC-TV18,Stay invested in HDFC Bank for long term: Tulsian
10.37 am , 19 Oct 2011 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target Rs 326: ULJK Securities
6.04 pm , 18 Oct 2011 ,   Source: CNBC-TV18,South Indian Bank a good long term bet: Angel Broking
5.35 pm , 18 Oct 2011 ,   Source: CNBC-TV18,IndusInd Bank Q2 net profit up 45% at Rs 193 cr
12.52 pm , 18 Oct 2011 ,   Source: Moneycontrol.com,IndusInd Bank Q2 NII seen up 23% at Rs 407 cr
7.59 pm , 17 Oct 2011 ,   Source: Moneycontrol.com,IndusInd Bank Q2 PAT seen up 40% at Rs 186 cr
6.25 pm , 17 Oct 2011 ,   Source: Moneycontrol.com,Diwan`s view on IndusInd Bank
2.02 pm , 17 Oct 2011 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 320: Madhumita Ghosh
11.53 am , 17 Oct 2011 ,   Source: CNBC-TV18,Bull's Eye: 12 buying ideas for the day
9.35 am , 14 Oct 2011 ,   Source: CNBC-TV18,"Invest in IndusInd Bank, says Deven Choksey"
2.47 pm , 07 Oct 2011 ,   Source: Moneycontrol.com,IndusInd Bank Sep qtr PAT seen up 37% at Rs 182.3cr: Unicon
1.38 pm , 05 Oct 2011 ,   Source: CNBC-TV18,"Short IndusInd Bank, says SP Tulsian"
3.23 pm , 29 Sep 2011 ,   Source: Moneycontrol.com,"Manish Shah bearish on Axis Bank, ICICI Bank"
11.21 am , 20 Sep 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 280: IIFL
12.42 pm , 03 Sep 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 278: SKP Securities
6.48 pm , 02 Sep 2011 ,   Source: CNBC-TV18,IndusInd Bank may rally to Rs 320: PN Vijay
8.47 am , 29 Aug 2011 ,   Source: CNBC-TV18,Sell IndusInd Bank for target of Rs 215: LKP
8.27 am , 29 Aug 2011 ,   Source: CNBC-TV18,Super Six trading ideas for the day
3.25 pm , 19 Aug 2011 ,   Source: CNBC-TV18,"Short IndusInd Bank, says Aashish Tater"
11.17 am , 19 Aug 2011 ,   Source: Moneycontrol.com,3 analysts & 12 stocks: Who will hit Bull's Eye?
