Time,Dates,Sources,Headlines
10.41 am , 01 Oct 2015 ,   Source: Moneycontrol.com,"IndusInd Bank's Q2 results on Oct 09, 2015"
3.52 pm , 30 Sep 2015 ,   Source: CNBC-TV18,"Exit SBI, invest in IndusInd Bank: Vishal Malkan"
2.17 pm , 29 Sep 2015 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 1080: Emkay
4.26 pm , 24 Sep 2015 ,   Source: CNBC-TV18,"Lupin, Infosys, IndusInd Bank look interesting: MOST"
5.18 pm , 23 Sep 2015 ,   Source: CNBC-TV18,"Prefer HDFC Bank, Dalmia Bharat: Mehraboon Irani"
3.00 pm , 19 Sep 2015 ,   Source: Moneycontrol.com,Diwali shopping list: 7 largecaps may give high returns
10.53 am , 18 Sep 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank 920 Call, BoB 185 Call: VK Sharma"
4.19 pm , 10 Sep 2015 ,   Source: CNBC-TV18,"HDFC Bank, Infosys top picks; like L&T, IOC: R Sreeshankar"
3.08 pm , 07 Sep 2015 ,   Source: CNBC-TV18,"Prefer Bank of Baroda, IndusInd Bank: Meghana Malkan"
3.01 pm , 07 Sep 2015 ,   Source: CNBC-TV18,"Buy HDFC Bank, IndusInd Bank: Sahil Kapoor"
2.08 pm , 05 Sep 2015 ,   Source: Moneycontrol.com,All weather stocks: 11 large caps to buy on market crash
7.34 pm , 04 Sep 2015 ,   Source: PTI,Foreign investors can buy more shares in IndusInd Bank
9.36 pm , 03 Sep 2015 ,   Source: Moneycontrol.com,IndusInd Bank: Updates on outcome of AGM
4.56 pm , 03 Sep 2015 ,   Source: CNBC-TV18,"Buy HDFC Bank, HDFC, Kotak Bank: Mehraboon Irani"
4.17 pm , 03 Sep 2015 ,   Source: CNBC-TV18,"HDFC Bank, ICICI Bank, SBI top picks: R Sreesankar"
2.55 pm , 03 Sep 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, target Rs 930: Sahil Kapoor"
10.46 am , 03 Sep 2015 ,   Source: CNBC-TV18,Moving towards marginal cost of funding: IndusInd Bk
4.03 pm , 01 Sep 2015 ,   Source: CNBC-TV18,Prefer IndusInd Bank for long term: Parag Thakkar
11.20 am , 29 Aug 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, Kotak Mahindra, Maruti: Sanjay Dutt"
3.28 pm , 26 Aug 2015 ,   Source: CNBC-TV18,"Sell Arvind, IndusInd Bank; buy Indraprastha Gas: Sukhani"
2.30 pm , 25 Aug 2015 ,   Source: CNBC-TV18,"Short IndusInd Bank, can move lower to Rs 800-820: MOST"
11.14 am , 25 Aug 2015 ,   Source: CNBC-TV18,"Sell IndusInd Bank, target Rs 770: Shubham Agarwal"
10.23 am , 25 Aug 2015 ,   Source: CNBC-TV18,"Buy YES Bank, IndusInd Bank, ICICI Bank on dips: Elara Cap"
4.52 pm , 20 Aug 2015 ,   Source: CNBC-TV18,"Buy YES Bank, IndusInd Bank; like ICICI Bank: Devang Mehta"
11.16 am , 19 Aug 2015 ,   Source: CNBC-TV18,"Pick IndusInd Bank, expect move to Rs 1070: ICICIdirect"
2.42 pm , 18 Aug 2015 ,   Source: CNBC-TV18,"Buy JK Tyre, IndusInd Bank: Kunal Bothra"
9.44 am , 18 Aug 2015 ,   Source: CNBC-TV18,"Hold Kotak Mahindra Bank, IndusInd Bank: Rahul Mohindar"
3.23 pm , 13 Aug 2015 ,   Source: CNBC-TV18,Buy ITC; sell IndusInd Bank: Sameet Chavan
9.06 am , 13 Aug 2015 ,   Source: CNBC-TV18,6 stocks likely to see lot of action today
9.07 pm , 12 Aug 2015 ,   Source: PTI,IndusInd raises Rs 753 crore through preferential issue
3.29 pm , 12 Aug 2015 ,   Source: PTI,"IndusInd Bk raises Rs 5,081-cr via QIP, preferential issue"
8.52 am , 12 Aug 2015 ,   Source: CNBC-TV18,Super Six trading bets that can fetch you handsome returns
3.42 pm , 06 Aug 2015 ,   Source: PTI,IndusInd Bank allots shares worth Rs 753 crore
3.25 pm , 05 Aug 2015 ,   Source: Moneycontrol.com,IndusInd Bank receives RBI approval to set up IFSC banking unit
2.09 pm , 31 Jul 2015 ,   Source: CNBC-TV18,Experts see Rs 370 as fair value for ICICI Bank
1.03 pm , 31 Jul 2015 ,   Source: CNBC-TV18,"Buy Tata Chemicals Aug futures, advises Krish Subramanyam"
11.00 am , 31 Jul 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank 980 Call, sell 1020 Call: VK Sharma"
2.49 pm , 29 Jul 2015 ,   Source: Moneycontrol.com,"IndusInd Bank's AGM on August 17, 2015"
11.56 am , 29 Jul 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, expect move towards Rs 1000: ICICIdirect"
10.50 am , 29 Jul 2015 ,   Source: CNBC-TV18,"HDFC Bank, IndusInd better play in banking space: Sabharwal"
4.26 pm , 28 Jul 2015 ,   Source: CNBC-TV18,"Buy L&T on correction, look at Tata Motors: Dilip Bhat"
9.48 pm , 27 Jul 2015 ,   Source: PTI,IndusInd completes acquisition of RBS bullion financing biz
1.08 pm , 27 Jul 2015 ,   Source: CNBC-TV18,"Overweight on pharma, private sector banks: Dipan Mehta"
11.26 am , 27 Jul 2015 ,   Source: PTI,IndusInd completes acquisition of RBS bullion financing biz
9.44 am , 27 Jul 2015 ,   Source: Moneycontrol.com,Indusind Bank acquires Royal Bank of Scotland's Diamond & Jewellery Financing biz
1.32 pm , 21 Jul 2015 ,   Source: CNBC-TV18,"Go long in IndusInd Bank, may test Rs 1020: Uttekar"
12.16 pm , 21 Jul 2015 ,   Source: CNBC-TV18,Focus on private sector banks: Dipan Mehta
1.33 pm , 16 Jul 2015 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 976: Arihant capital
1.33 pm , 16 Jul 2015 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1100: KRChoksey
3.20 pm , 15 Jul 2015 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1050: ICICIdirect
3.19 pm , 15 Jul 2015 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1200: Religare
1.27 pm , 15 Jul 2015 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 1050: P Lilladher
3.14 pm , 14 Jul 2015 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 1050: Emkay
1.07 pm , 14 Jul 2015 ,   Source: CNBC-TV18,IndusInd Bank top pick: R Sreesankar
10.43 am , 14 Jul 2015 ,   Source: CNBC-TV18,Loan growth at 23%; Q1 net slippages at Rs 7 cr: IndusInd
4.44 pm , 13 Jul 2015 ,   Source: CNBC-TV18,Look at HDFC Bank: Anand Tandon
4.26 pm , 13 Jul 2015 ,   Source: CNBC-TV18,Like DCB Bank; Axis Bank can outperform: Rahul Mohindar
2.22 pm , 13 Jul 2015 ,   Source: Moneycontrol.com,"IndusInd Bank Q1 net up 25% at Rs 525 cr, NII gains 22%"
11.06 am , 13 Jul 2015 ,   Source: CNBC-TV18,Harendra Kumar neutral on IndusInd Bank
