Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,71.000000,73.387497,69.500000,71.862503,54.534466,658756
2009-01-05,73.137497,75.250000,72.525002,74.125000,56.251415,454296
2009-01-06,73.750000,81.250000,73.250000,79.487503,60.320862,611708
2009-01-07,80.500000,81.750000,73.025002,75.162498,57.038734,368188
2009-01-09,72.500000,79.099998,72.449997,77.800003,59.040272,1527296
2009-01-12,77.750000,79.974998,75.537498,77.212502,58.594425,1595828
2009-01-13,77.000000,78.925003,75.050003,75.900002,57.598408,308340
2009-01-14,77.000000,80.787498,76.587502,79.987503,60.700306,503972
2009-01-15,77.500000,80.750000,76.000000,79.762497,60.529552,349152
2009-01-16,80.750000,82.500000,80.062500,81.062500,61.516087,258280
2009-01-19,81.250000,81.375000,76.287498,77.349998,58.698769,500096
2009-01-20,76.250000,76.250000,73.275002,75.037498,56.943886,774696
2009-01-21,72.824997,76.000000,72.525002,73.987503,56.147072,320364
2009-01-22,75.250000,75.250000,70.387497,71.875000,54.543945,263184
2009-01-23,70.000000,71.750000,64.699997,66.175003,50.218376,621528
2009-01-27,65.750000,68.750000,65.012497,68.050003,51.641266,584868
2009-01-28,68.500000,71.500000,67.750000,70.962502,53.851479,691096
2009-01-29,71.750000,75.412498,70.949997,73.962502,56.128094,294500
2009-01-30,72.500000,75.750000,72.012497,75.150002,57.029259,207720
2009-02-02,72.775002,75.449997,71.750000,72.712502,55.179508,506676
2009-02-03,74.962502,74.962502,70.750000,71.912498,54.572411,175120
2009-02-04,72.025002,73.250000,69.762497,70.712502,53.661762,211408
2009-02-05,70.750000,71.250000,66.199997,66.687500,50.607300,321184
2009-02-06,66.675003,69.750000,66.250000,68.537498,52.011215,255280
2009-02-09,69.037498,69.037498,66.574997,68.574997,52.039669,239488
2009-02-10,69.250000,72.474998,69.250000,70.875000,53.785076,717084
2009-02-11,69.775002,71.500000,68.750000,70.150002,53.234901,202592
2009-02-12,70.000000,76.000000,70.000000,74.962502,56.886971,1153128
2009-02-13,74.750000,81.137497,74.750000,80.237503,60.890011,1000704
2009-02-16,81.250000,83.250000,75.262497,78.612503,59.656849,1213960
2009-02-17,74.512497,77.699997,73.574997,74.675003,56.668789,637848
2009-02-18,72.750000,74.724998,70.724998,71.137497,53.984280,687840
2009-02-19,71.500000,75.000000,71.000000,72.537498,55.046692,399540
2009-02-20,72.000000,72.000000,67.500000,70.312500,53.358208,516348
2009-02-24,69.987503,74.699997,67.875000,73.775002,55.985809,826660
2009-02-25,74.375000,80.224998,73.750000,79.599998,60.406235,1971764
2009-02-26,79.599998,81.625000,77.562500,80.187500,60.852074,1562056
2009-02-27,80.000000,80.775002,75.662498,77.474998,58.793644,803056
2009-03-02,75.662498,81.375000,74.324997,79.474998,60.311367,922188
2009-03-03,78.775002,81.949997,77.625000,78.074997,59.248951,1188324
2009-03-04,79.000000,79.849998,77.562500,78.625000,59.666348,628560
2009-03-05,79.699997,79.837502,76.900002,77.837502,59.068726,628428
2009-03-06,75.000000,79.625000,75.000000,79.224998,60.121662,551324
2009-03-09,79.000000,79.949997,78.250000,79.400002,60.254463,616256
2009-03-12,79.250000,83.000000,79.250000,82.275002,62.436234,571508
2009-03-13,83.750000,91.375000,83.750000,86.199997,65.414795,2053508
2009-03-16,86.449997,95.500000,86.250000,93.512497,70.964058,3334400
2009-03-17,93.787498,96.074997,92.262497,94.362503,71.609093,2288652
2009-03-18,94.750000,94.925003,89.974998,90.500000,68.677940,1265096
2009-03-19,91.250000,92.449997,87.800003,88.787498,67.378372,1149080
2009-03-20,89.500000,89.912498,86.562500,88.912498,67.473244,721332
2009-03-23,90.000000,93.375000,90.000000,92.275002,70.024956,492780
2009-03-24,93.787498,98.000000,92.250000,93.412498,70.888145,1061116
2009-03-25,92.500000,96.962502,90.500000,94.837502,71.969551,1121240
2009-03-26,92.500000,98.487503,92.500000,96.337502,73.107872,1014184
2009-03-27,96.237503,98.625000,93.512497,96.324997,73.098381,664408
2009-03-30,94.000000,96.000000,91.375000,92.550003,70.233620,371912
2009-03-31,92.500000,96.487503,92.500000,95.800003,72.699966,525236
2009-04-01,103.099998,103.099998,94.375000,98.650002,74.862755,1347180
2009-04-02,101.199997,109.000000,100.074997,105.025002,79.700554,1383020
2009-04-06,107.449997,121.250000,107.000000,120.000000,91.064674,1158624
2009-04-08,112.561996,115.311996,110.250000,112.324997,85.240341,488140
2009-04-09,112.000000,115.400002,106.500000,108.787003,82.555443,1545304
2009-04-13,113.275002,114.737999,110.050003,112.474998,85.354164,640484
2009-04-15,112.250000,125.750000,110.561996,118.537003,89.954445,2518448
2009-04-16,120.250000,121.199997,111.762001,112.824997,85.619774,692548
2009-04-17,114.150002,117.425003,111.824997,112.938004,85.705544,380392
2009-04-20,114.150002,116.699997,110.061996,112.237999,85.174309,266968
2009-04-21,110.750000,112.750000,108.125000,109.487999,83.087418,291616
2009-04-22,110.000000,111.750000,103.262001,106.087997,80.507248,376280
2009-04-23,107.500000,112.500000,105.750000,110.737999,84.036003,430532
2009-04-24,111.250000,121.500000,111.250000,118.500000,89.926376,904976
2009-04-27,117.500000,123.599998,116.500000,118.724998,90.097099,466360
2009-04-28,118.750000,125.387001,117.050003,118.675003,90.059174,919256
2009-04-29,119.750000,122.750000,119.250000,121.561996,92.250031,436600
2009-04-30,243.125000,243.125000,243.125000,243.125000,184.500839,0
2009-05-04,127.224998,142.462006,124.000000,137.449997,104.306999,1800384
2009-05-05,137.250000,137.250000,127.750000,133.386993,101.223694,626584
2009-05-06,134.000000,134.500000,129.024994,132.850006,100.816200,1177800
2009-05-07,133.787994,134.975006,127.574997,129.087006,97.960556,890452
2009-05-08,128.000000,131.225006,121.688004,123.561996,93.767776,680736
2009-05-11,124.000000,128.250000,122.775002,125.500000,95.238480,848600
2009-05-12,125.000000,131.250000,123.637001,130.688004,99.175507,674608
2009-05-13,131.250000,132.449997,126.250000,127.550003,96.794167,407704
2009-05-14,125.625000,130.750000,125.000000,127.311996,96.613548,699908
2009-05-15,129.500000,130.725006,126.561996,128.475006,97.496124,622628
2009-05-18,139.750000,144.000000,139.750000,143.850006,109.163795,4032
2009-05-19,150.000000,167.000000,140.250000,156.837006,119.019249,1222208
2009-05-20,156.250000,171.225006,150.750000,169.662994,128.752563,802664
2009-05-21,165.000000,168.750000,159.250000,163.300003,123.923843,537144
2009-05-22,163.250000,163.250000,155.061996,157.462006,119.493561,449288
2009-05-25,158.500000,163.500000,156.000000,158.449997,120.243324,456220
2009-05-26,158.250000,161.811996,150.000000,152.636993,115.831970,341780
2009-05-27,155.000000,158.725006,153.561996,156.324997,118.630722,303480
2009-05-28,157.500000,166.000000,156.287994,159.699997,121.191902,1063960
2009-05-29,163.750000,175.000000,161.500000,168.750000,128.059723,1241548
2009-06-01,168.750000,179.000000,167.261993,177.613007,134.785599,809564
2009-06-02,184.949997,187.250000,177.975006,181.350006,137.621506,844396
2009-06-03,180.500000,183.875000,171.250000,174.375000,132.328339,742304
2009-06-04,174.750000,178.475006,170.500000,172.438004,130.858429,531592
2009-06-05,176.250000,181.250000,172.574997,177.725006,134.870590,999572
2009-06-08,182.475006,185.949997,172.550003,174.561996,132.470261,379500
2009-06-09,172.500000,187.250000,168.074997,185.625000,140.865662,1851176
2009-06-10,186.250000,193.750000,185.625000,191.962006,145.674652,1075920
2009-06-11,187.250000,205.500000,187.250000,203.824997,154.677170,1926572
2009-06-12,204.500000,206.000000,194.250000,195.824997,148.606171,1043720
2009-06-15,190.000000,193.750000,186.250000,189.000000,143.426865,255244
2009-06-16,185.000000,195.449997,184.500000,193.625000,146.936646,443988
2009-06-17,195.000000,195.500000,185.761993,187.287994,142.127655,678208
2009-06-18,188.750000,190.000000,183.500000,185.350006,140.656998,240556
2009-06-19,186.250000,192.500000,180.287994,184.324997,139.879166,476540
2009-06-22,185.000000,187.375000,174.250000,177.324997,134.567032,455272
2009-06-23,173.050003,178.475006,170.375000,175.975006,133.542557,601400
2009-06-24,178.750000,183.613007,170.662994,180.975006,137.336914,892332
2009-06-25,182.561996,183.600006,173.750000,175.662994,133.305771,469004
2009-06-26,178.000000,178.000000,171.274994,174.375000,132.328339,1155128
2009-06-29,177.250000,178.000000,173.787994,176.011993,133.570633,704800
2009-06-30,178.750000,178.750000,171.250000,173.125000,131.379776,860748
2009-07-01,173.837006,180.250000,171.824997,178.587006,135.524719,1026452
2009-07-02,181.087006,181.087006,174.500000,178.113007,135.165024,1120552
2009-07-03,176.750000,186.750000,175.750000,184.500000,140.011948,1315772
2009-07-06,186.000000,186.750000,174.561996,177.600006,134.775742,489908
2009-07-07,181.199997,189.250000,180.000000,187.613007,142.374329,2191060
2009-07-08,185.750000,188.750000,178.136993,184.238007,139.813126,943600
2009-07-09,184.225006,185.000000,175.800003,180.511993,144.847534,610204
2009-07-10,180.750000,180.750000,171.250000,173.500000,139.220917,609240
2009-07-13,173.500000,173.500000,160.824997,169.100006,135.690247,397392
2009-07-14,171.750000,177.912994,169.000000,176.162994,141.357788,531312
2009-07-15,177.912994,180.750000,175.000000,179.537994,144.065964,707692
2009-07-16,179.537994,185.250000,176.750000,180.125000,144.537018,1111076
2009-07-17,181.500000,198.000000,181.500000,194.662994,156.202682,1186108
2009-07-20,197.511993,201.824997,195.287994,199.212006,159.852921,894200
2009-07-21,191.561996,200.000000,191.500000,194.061996,155.720398,767668
2009-07-22,194.500000,201.250000,189.500000,191.287994,153.494476,816404
2009-07-23,192.500000,202.000000,192.000000,200.462006,160.855957,1991332
2009-07-24,202.500000,208.761993,201.250000,207.712006,166.673523,1341292
2009-07-27,208.750000,209.750000,201.750000,204.037994,163.725418,408820
2009-07-28,205.000000,209.625000,203.024994,205.699997,165.059052,679764
2009-07-29,205.488007,213.425003,201.712006,210.449997,168.870575,1228820
2009-07-30,211.274994,214.875000,208.074997,213.011993,170.926392,2334332
2009-07-31,216.250000,223.000000,209.550003,214.199997,171.879684,1340608
2009-08-03,215.311996,232.425003,214.750000,228.938004,183.705811,1530096
2009-08-04,230.500000,235.675003,225.561996,231.550003,185.801773,1524224
2009-08-05,228.750000,234.000000,226.975006,230.000000,184.557983,508964
2009-08-06,227.500000,231.500000,216.250000,220.475006,176.914917,1116292
2009-08-07,219.500000,219.500000,204.250000,208.537994,167.336319,1576836
2009-08-10,212.750000,214.500000,187.250000,189.524994,152.079803,3688636
2009-08-11,192.500000,201.500000,190.024994,196.250000,157.476120,1896552
2009-08-12,196.250000,197.750000,186.350006,194.636993,156.181808,1497216
2009-08-13,197.261993,202.750000,193.113007,198.725006,159.462112,2179532
2009-08-14,200.250000,203.125000,193.024994,197.175003,158.218369,1363332
2009-08-17,187.500000,194.949997,185.537994,186.699997,149.812958,1251132
2009-08-18,186.500000,193.125000,186.024994,192.087006,154.135651,603904
2009-08-19,192.500000,195.250000,183.800003,185.212006,148.618942,775836
2009-08-20,188.000000,194.975006,187.500000,193.511993,155.279068,710088
